Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Ryan Gomes,4000000,29,32,2,425,0.326,0.138,0.727,14,47,12,16,0,15,34,74,SF,58044000
Bobby Simmons,594836,31,28,0,418,0.311,0.333,0.571,17,38,11,15,3,10,41,80,SF,58044000
Brian Cook,1223166,31,16,0,121,0.224,0.185,1,4,19,2,2,4,4,26,31,PF,58044000
Trey Thompkins,473604,21,24,0,119,0.393,0.308,0.714,4,20,3,3,3,6,10,57,C,58044000
Solomon Jones,280234,27,10,0,96,0.125,0,0.8,11,6,2,4,5,5,12,6,PF,58044000
Courtney Fortson,42009,23,4,0,46,0.417,0.25,0.667,4,4,5,0,0,5,3,17,PG,58044000
Travis Leslie,473604,21,10,0,45,0.357,0,0.444,6,3,5,2,2,2,4,14,SG,58044000
Pau Gasol,18714150,31,65,65,2430,0.501,0.259,0.782,183,495,237,37,88,142,127,1129,PF,58044000
Kobe Bryant,25244493,33,58,58,2232,0.43,0.303,0.845,66,247,264,69,18,204,105,1616,SG,58044000
Andrew Bynum,14900000,24,60,60,2112,0.558,0.2,0.692,192,517,85,27,116,152,104,1123,C,58044000
Metta World Peace,6790640,32,64,45,1720,0.394,0.296,0.617,71,147,140,69,27,69,137,493,SF,58044000
Matt Barnes,1906200,31,63,16,1440,0.452,0.333,0.742,97,247,126,35,48,73,152,491,SF,58044000
Steve Blake,4000000,31,53,5,1237,0.377,0.335,0.778,9,76,175,39,2,72,75,276,PG,58044000
Derek Fisher,3400000,37,43,43,1101,0.383,0.324,0.83,10,82,142,40,3,58,85,252,PG,58044000
Troy Murphy,1352181,31,59,0,956,0.45,0.418,0.667,40,151,51,15,16,26,98,188,PF,58044000
Josh McRoberts,3000000,24,50,6,718,0.475,0.429,0.639,61,110,51,15,18,31,74,138,PF,58044000
Andrew Goudelock,473604,23,40,0,419,0.391,0.373,0.917,5,26,20,4,0,21,32,175,SG,58044000
Devin Ebanks,762195,22,24,12,396,0.416,0,0.657,26,28,12,11,6,18,26,97,SG,58044000
Jason Kapono,1223166,30,27,0,269,0.382,0.296,1,2,12,11,3,0,6,21,54,SG,58044000
Darius Morris,473604,21,19,0,169,0.429,0.444,0.667,2,14,21,2,0,19,16,46,PG,58044000
Luke Walton,5680000,31,9,0,65,0.429,0,0,6,8,5,2,0,2,9,12,SF,58044000
Kevin Love,4609701,23,55,55,2145,0.448,0.372,0.824,226,508,111,47,28,128,152,1432,PF,58044000
Luke Ridnour,3680000,30,53,53,1750,0.44,0.322,0.891,19,122,252,56,16,96,136,639,SG,58044000
Wesley Johnson,4006080,24,65,64,1469,0.398,0.314,0.706,24,153,59,35,48,60,115,393,SF,58044000
Derrick Williams,4602720,20,66,15,1418,0.412,0.268,0.697,77,234,38,30,31,77,95,583,C,58044000
Ricky Rubio,3480120,21,41,31,1404,0.357,0.34,0.803,21,150,336,91,8,131,97,436,PG,58044000
Nikola Pekovic,4503600,26,47,35,1264,0.564,0,0.743,181,165,31,29,31,87,98,651,C,58044000
Martell Webster,5256000,25,47,26,1140,0.423,0.339,0.792,42,126,40,31,17,46,86,324,SF,58044000
Michael Beasley,6262347,23,47,7,1087,0.445,0.376,0.642,39,168,45,18,19,80,83,541,SF,58044000
J.J. Barea,4300000,27,41,11,1032,0.4,0.371,0.776,14,100,232,21,0,103,61,463,PG,58044000
Wayne Ellington,1154040,24,51,4,973,0.404,0.324,0.8,14,85,33,26,10,26,56,311,SG,58044000
Anthony Tolliver,2050000,26,51,0,882,0.39,0.248,0.745,50,103,22,18,19,35,86,208,SF,58044000
Anthony Randolph,2911231,22,34,5,517,0.47,0,0.762,42,81,19,13,35,40,56,252,PF,58044000
Darko Milicic,4776500,26,29,23,472,0.454,0,0.432,35,62,17,9,25,32,59,134,C,58044000
Malcolm Lee,500000,21,19,0,243,0.39,0.2,0.824,9,17,31,8,4,17,22,62,SG,58044000
Brad Miller,4752000,35,15,1,146,0.333,0.467,0.833,4,15,24,4,2,12,10,35,C,58044000
Ty Lawson,1654440,24,61,61,2124,0.488,0.365,0.824,54,173,401,82,6,149,94,999,PG,58044000
Arron Afflalo,7562500,26,62,62,2086,0.471,0.398,0.798,40,157,149,36,13,85,134,943,SG,58044000
Andre Miller,7807728,35,66,7,1809,0.438,0.217,0.811,53,168,441,63,9,177,133,639,SG,58044000
Al Harrington,6226200,31,64,1,1761,0.446,0.333,0.676,72,318,88,58,12,112,181,910,PF,58044000
Danilo Gallinari,4190182,23,43,40,1351,0.414,0.328,0.871,28,174,116,42,23,68,86,628,SF,58044000
Corey Brewer,3059000,25,59,17,1287,0.434,0.26,0.692,43,107,88,72,17,56,113,525,SF,58044000
Kenneth Faried,1254720,22,46,39,1037,0.586,0,0.665,142,210,36,34,47,54,116,471,PF,58044000
Nene Hilario,13000000,29,28,27,826,0.509,0,0.677,43,165,61,36,25,77,69,376,C,58044000
Kosta Koufos,2203792,22,48,24,792,0.599,0,0.6,95,163,15,24,41,33,96,263,C,58044000
Rudy Fernandez,2180443,26,31,1,710,0.44,0.328,0.698,9,56,75,31,3,40,37,268,SG,58044000
Timofey Mozgov,3343896,25,44,35,687,0.526,0,0.684,53,126,22,15,42,53,86,239,C,58044000
Chris Andersen,4234000,33,32,1,486,0.546,0,0.61,48,100,6,19,46,17,52,168,C,58044000
Jordan Hamilton,1073286,21,26,2,258,0.432,0.362,0.4,11,51,20,4,3,16,15,115,SF,58044000
Julyan Stone,473604,23,22,2,179,0.419,0.182,0.727,5,20,37,8,6,11,18,36,SG,58044000
DeMarre Carroll,289382,25,4,0,21,1,0,0,0,3,3,0,0,2,1,12,PF,58044000
Wesley Matthews,6135160,25,66,53,2228,0.412,0.383,0.86,56,168,113,96,15,73,148,904,SG,58044000
LaMarcus Aldridge,12372000,26,55,55,1994,0.512,0.182,0.814,150,292,134,51,45,111,153,1191,PF,58044000
Raymond Felton,7560000,27,60,56,1906,0.407,0.305,0.806,27,122,390,78,10,170,122,684,PG,58044000
Nicolas Batum,2155365,23,59,34,1791,0.451,0.391,0.836,81,190,84,57,60,90,105,818,SF,58044000
Jamal Crawford,5000000,31,60,6,1613,0.384,0.308,0.927,16,102,191,55,14,111,74,837,PG,58044000
Gerald Wallace,9500000,29,42,42,1503,0.472,0.265,0.776,63,214,115,62,25,84,107,557,SF,58044000
Marcus Camby,11227250,37,40,40,894,0.416,0,0.474,105,249,75,33,56,47,88,152,C,58044000
Nolan Smith,1306920,23,44,4,541,0.372,0.289,0.714,17,39,62,18,3,42,55,167,PG,58044000
Luke Babbitt,1768800,22,40,4,537,0.41,0.43,0.85,16,79,16,10,4,27,46,202,SF,58044000
Craig Smith,992680,28,47,0,464,0.504,0,0.717,33,77,19,16,5,24,55,156,PF,58044000
Joel Przybilla,1145027,32,27,19,449,0.458,0,0.611,29,109,6,4,16,22,66,55,C,58044000
Elliot Williams,1348800,22,24,0,149,0.5,0.296,0.333,7,12,6,6,3,5,18,88,SG,58044000
Chris Johnson,762195,26,20,0,93,0.478,0,0.833,8,10,1,1,8,7,20,32,C,58044000
Armon Johnson,762195,22,1,0,5,1,0,0,0,1,0,1,0,1,0,2,PG,58044000
Kevin Durant,15506632,23,66,66,2546,0.496,0.387,0.86,40,487,231,88,77,248,133,1850,SF,58044000
Russell Westbrook,5082416,23,66,66,2331,0.457,0.316,0.823,96,205,362,112,21,239,147,1558,PG,58044000
James Harden,4604760,22,62,2,1946,0.491,0.39,0.846,30,222,229,62,15,137,150,1044,SG,58044000
Serge Ibaka,1288200,22,66,66,1792,0.535,0.333,0.661,193,305,28,33,241,79,179,603,PF,58044000
Kendrick Perkins,7123626,27,65,65,1744,0.489,0,0.652,120,306,78,25,73,118,189,329,C,58044000
Nick Collison,3272997,31,63,0,1307,0.597,0,0.71,119,155,82,33,28,61,153,284,PF,58044000
Daequan Cook,3341558,24,57,22,989,0.368,0.346,0.636,12,110,15,22,11,16,69,311,SG,58044000
Thabo Sefolosha,3300000,27,42,42,914,0.432,0.437,0.884,21,107,47,37,17,40,78,203,SG,58044000
Nazr Mohammed,3750000,34,63,1,692,0.467,0,0.565,59,111,14,20,37,26,101,171,C,58044000
Reggie Jackson,1156320,21,45,0,501,0.321,0.21,0.862,14,39,71,25,1,36,31,140,PG,58044000
Royal Ivey,1200000,30,34,0,354,0.356,0.34,0.125,1,23,10,14,0,9,36,71,SG,58044000
Cole Aldrich,2286000,23,26,0,173,0.524,0,0.929,13,35,3,8,16,9,22,57,C,58044000
Lazar Hayward,1097520,25,26,0,141,0.342,0.286,0.583,2,14,4,3,1,9,18,37,SF,58044000
Eric Maynor,1516680,24,9,0,137,0.359,0.353,1,3,10,22,5,0,11,13,38,PG,58044000
Dwight Howard,18091770,26,54,54,2070,0.573,0,0.491,200,585,104,81,116,175,159,1113,C,58044000
Ryan Anderson,19269307,23,61,61,1964,0.439,0.393,0.877,224,247,54,50,26,57,146,980,PF,58044000
J.J. Redick,6750000,27,65,22,1765,0.425,0.418,0.911,18,132,164,27,6,68,92,751,SG,58044000
Jameer Nelson,7800000,29,57,57,1706,0.427,0.377,0.807,29,152,325,38,5,135,130,676,PG,58044000
Hedo Turkoglu,11015850,32,53,53,1653,0.415,0.353,0.705,24,175,233,45,17,142,139,576,SF,58044000
Jason Richardson,5395000,31,54,54,1591,0.408,0.368,0.594,36,158,107,53,22,60,91,629,SG,58044000
Glen Davis,6300000,26,61,13,1427,0.421,0.143,0.683,107,224,47,43,19,75,106,566,PF,58044000
Chris Duhon,3500000,29,63,9,1226,0.419,0.42,0.81,14,88,151,35,9,81,71,237,PG,58044000
Quentin Richardson,2446600,31,48,3,866,0.376,0.347,0.833,15,108,38,28,6,29,74,215,SF,58044000
Earl Clark,1160000,24,45,1,559,0.367,0,0.724,35,89,18,12,32,25,72,123,PF,58044000
Daniel Orton,1105560,21,16,2,187,0.567,0,0.44,19,20,5,8,9,7,30,45,PF,58044000
Ish Smith,522486,23,20,0,171,0.373,0.25,0.75,5,21,32,11,2,12,11,45,PG,58044000
DeAndre Liggins,473604,23,17,0,115,0.48,0,0.474,6,9,5,6,0,10,6,33,SF,58044000
Larry Hughes,414443,33,9,0,114,0.227,0.143,0.5,1,4,7,2,0,12,10,12,PG,58044000
Justin Harper,473604,22,14,0,84,0.29,0.154,0,3,9,2,2,3,6,5,20,PF,58044000
Luke Ridnour,4000000,31,82,82,2474,0.453,0.311,0.848,41,165,311,82,15,130,187,939,SG,58044000
Andrei Kirilenko,9779349,31,64,64,2034,0.507,0.292,0.752,102,260,177,96,62,119,82,791,SF,58044000
Dante Cunningham,2090000,25,80,9,2010,0.468,0,0.65,142,266,67,84,38,56,153,695,PF,58044000
Nikola Pekovic,4837200,27,62,62,1959,0.52,0,0.744,230,315,53,43,50,101,143,1011,C,58044000
Derrick Williams,4947840,21,78,56,1916,0.43,0.332,0.706,96,334,46,44,37,101,127,933,PF,58044000
Alexey Shved,2934610,24,77,16,1840,0.372,0.295,0.72,41,134,286,54,27,147,117,665,SG,58044000
J.J. Barea,4493500,28,74,2,1713,0.417,0.346,0.784,34,173,294,32,0,145,131,834,PG,58044000
Ricky Rubio,3741120,22,57,47,1691,0.36,0.293,0.799,44,185,418,137,5,172,143,608,PG,58044000
Greg Stiemsma,2575000,27,76,19,1209,0.457,0,0.768,61,200,30,44,90,59,184,307,C,58044000
Mickael Gelabale,447298,29,36,13,644,0.518,0.308,0.875,32,67,26,16,4,16,47,181,SF,58044000
Rudy Gay,15032144,25,65,65,2422,0.455,0.312,0.791,130,287,147,95,55,161,138,1232,SF,58044000
Marc Gasol,12922194,27,65,65,2370,0.482,0.083,0.748,120,459,204,62,121,121,201,952,C,58044000
Mike Conley,6611571,24,62,61,2174,0.433,0.377,0.861,22,134,404,136,11,125,133,788,PG,58044000
O.J. Mayo,5632637,24,66,0,1771,0.408,0.364,0.773,30,180,169,71,23,124,137,833,SG,58044000
Tony Allen,3150000,30,58,57,1525,0.469,0.308,0.8,98,135,79,104,33,94,142,568,SG,58044000
Marreese Speights,2721255,24,60,54,1345,0.453,0,0.771,133,241,48,21,29,74,147,526,PF,58044000
Dante Cunningham,2000000,24,64,5,1124,0.516,0,0.652,91,155,37,42,34,29,98,333,PF,58044000
Quincy Pondexter,1153800,23,64,8,1002,0.452,0.301,0.623,55,71,27,27,5,30,90,271,SF,58044000
Zach Randolph,15200000,30,28,8,735,0.463,0.25,0.659,78,147,48,21,4,40,57,324,PF,58044000
Jeremy Pargo,1000000,25,44,5,424,0.333,0.263,0.593,12,25,55,15,0,46,46,126,PG,58044000
Sam Young,947800,26,21,2,240,0.386,0,0.833,14,27,9,11,2,9,12,74,SF,58044000
Josh Selby,550000,20,28,0,237,0.347,0.133,0.786,2,13,30,7,0,29,17,63,PG,58044000
Hamed Haddadi,1300000,26,35,0,206,0.542,0,0.692,28,43,8,1,26,21,43,70,C,58044000
Josh Davis,314041,31,15,0,130,0.37,0.308,0.5,16,11,6,7,1,3,19,28,PF,58044000
Brian Skinner,65446,35,1,0,4,0,0,0,0,0,0,0,0,0,1,0,C,58044000
Marco Belinelli,3377604,25,66,55,1966,0.417,0.377,0.783,19,153,101,48,5,69,115,780,SG,58044000
Greivis Vasquez,1113600,25,66,26,1706,0.43,0.319,0.821,23,150,359,60,8,148,126,589,SG,58044000
Jarrett Jack,5000000,28,45,39,1530,0.456,0.348,0.872,23,153,285,31,9,106,93,700,PG,58044000
Al-Farouq Aminu,2755560,21,66,21,1477,0.411,0.277,0.754,95,213,66,59,34,91,136,399,SF,58044000
Chris Kaman,14030000,29,47,33,1372,0.446,0,0.785,89,275,101,25,77,129,106,616,C,58044000
Trevor Ariza,6790640,26,41,41,1350,0.417,0.333,0.775,41,174,135,69,25,76,73,444,SF,58044000
Gustavo Ayon,1567500,26,54,24,1088,0.536,0,0.619,86,179,74,53,46,46,118,319,PF,58044000
Carl Landry,8500000,28,41,8,999,0.503,0,0.799,78,136,38,13,12,64,89,511,PF,58044000
Jason Smith,2500000,25,40,29,947,0.52,0.111,0.702,72,124,34,21,41,40,102,396,PF,58044000
Emeka Okafor,12541812,29,27,27,781,0.533,0,0.514,70,143,24,16,26,37,73,266,C,58044000
Xavier Henry,2171640,20,45,0,759,0.395,0.412,0.612,24,82,35,26,8,35,59,239,SG,58044000
Lance Thomas,328444,23,42,10,630,0.452,0,0.839,49,77,12,10,7,24,78,166,PF,58044000
Eric Gordon,3831184,23,9,9,310,0.45,0.25,0.754,2,23,31,13,4,24,20,185,PG,58044000
DaJuan Summers,303137,24,15,6,209,0.431,0.313,0.778,8,15,10,7,0,8,31,68,SF,58044000
Solomon Jones,160119,27,11,1,196,0.434,0,0.833,21,20,7,5,6,13,31,61,C,58044000
Carldell Johnson,168035,29,15,0,119,0.314,0.267,0.333,1,8,22,8,0,7,11,27,PG,58044000
Donald Sloan,76392,24,3,0,41,0.357,0,0.5,2,1,8,2,0,5,2,12,PG,58044000
Jeff Foote,225341,24,4,0,39,0.333,0,0,1,5,0,0,1,2,5,4,C,58044000
Marcin Gortat,6790640,27,66,66,2114,0.555,0,0.649,185,474,59,48,99,90,142,1017,C,58044000
Jared Dudley,4250000,26,65,60,2020,0.485,0.383,0.726,95,206,112,49,19,72,107,823,SG,58044000
Steve Nash,11689062,37,62,62,1961,0.532,0.39,0.894,26,160,664,38,8,229,53,772,PG,58044000
Channing Frye,5600000,28,64,59,1669,0.416,0.346,0.89,71,308,88,42,70,63,176,674,PF,58044000
Shannon Brown,3500000,26,59,19,1400,0.42,0.362,0.808,38,119,69,44,15,64,66,650,SG,58044000
Grant Hill,6500000,39,49,46,1378,0.446,0.264,0.761,29,142,107,41,29,65,88,499,SF,58044000
Markieff Morris,1919160,22,63,7,1227,0.399,0.347,0.717,69,210,65,41,42,70,179,467,PF,58044000
Robin Lopez,2862602,23,64,0,895,0.461,0,0.714,90,119,20,18,60,43,128,348,C,58044000
Sebastian Telfair,1500000,26,60,1,895,0.412,0.314,0.791,20,71,138,41,12,68,120,368,PG,58044000
Michael Redd,1308506,32,51,2,770,0.4,0.318,0.793,14,63,33,13,0,37,29,418,SG,58044000
Ronnie Price,1069509,28,36,8,517,0.377,0.295,0.8,18,38,67,34,3,46,72,131,PG,58044000
Hakim Warrick,4000000,29,35,0,503,0.411,0.1,0.768,31,61,30,8,3,36,35,225,PF,58044000
Josh Childress,6000000,28,34,0,491,0.485,0.167,0,31,64,34,14,6,9,38,100,SF,58044000
Tyreke Evans,4151640,22,63,61,2162,0.453,0.202,0.779,64,225,283,84,29,171,136,1037,SG,58044000
DeMarcus Cousins,3627720,21,64,62,1950,0.448,0.143,0.702,265,438,102,93,75,170,257,1160,C,58044000
Marcus Thornton,7000000,24,51,51,1780,0.438,0.345,0.865,84,104,98,71,12,84,111,952,SG,58044000
Jason Thompson,3001284,25,64,47,1657,0.535,0,0.602,166,277,79,43,44,68,149,583,PF,58044000
Isaiah Thomas,473604,22,65,37,1656,0.448,0.379,0.832,48,120,266,53,8,105,121,749,PG,58044000
John Salmons,8500000,32,46,32,1250,0.409,0.295,0.644,20,114,93,37,7,45,77,344,SF,58044000
Jimmer Fredette,2238360,22,61,7,1135,0.386,0.361,0.833,17,56,108,30,3,67,73,462,PG,58044000
Chuck Hayes,5250000,28,54,9,1039,0.429,0,0.667,72,162,77,36,17,50,111,172,C,58044000
Francisco Garcia,5800000,30,49,3,798,0.376,0.29,0.8,11,88,31,36,37,22,73,234,SF,58044000
Donte Greene,2015896,23,53,7,777,0.406,0.238,0.8,19,114,34,18,29,32,67,285,PF,58044000
J.J. Hickson,2354537,23,35,9,644,0.37,0,0.638,67,110,22,18,17,39,44,165,PF,58044000
Travis Outlaw,3000000,27,39,5,500,0.343,0.267,0.674,19,42,16,19,21,20,34,167,SF,58044000
Hassan Whiteside,762195,22,18,0,109,0.444,0,0.417,16,23,0,3,15,5,12,29,C,58044000
Tyler Honeycutt,775000,21,15,0,88,0.333,0.333,0.6,3,11,7,4,3,2,3,20,SF,58044000
Tony Parker,12500000,29,60,60,1923,0.48,0.23,0.799,22,149,463,57,5,153,75,1095,PG,58044000
Tim Duncan,21164619,35,58,58,1634,0.492,0,0.695,110,410,132,38,88,97,98,895,C,58044000
Kawhi Leonard,1731960,20,64,39,1534,0.493,0.376,0.773,104,223,70,85,24,44,88,507,SF,58044000
Danny Green,854389,24,66,38,1522,0.442,0.436,0.79,54,174,86,58,46,67,107,603,SG,58044000
DeJuan Blair,986000,22,64,62,1363,0.534,0,0.613,154,197,78,59,12,92,168,611,PF,58044000
Matt Bonner,3315000,31,65,2,1326,0.44,0.42,0.762,29,185,61,15,21,14,68,429,PF,58044000
Gary Neal,762195,27,56,7,1206,0.436,0.419,0.781,12,106,117,27,2,60,75,557,SG,58044000
Richard Jefferson,9282000,31,41,41,1168,0.414,0.421,0.7,18,125,55,25,12,32,83,379,SF,58044000
Tiago Splitter,3672000,27,59,2,1121,0.618,0,0.691,93,213,65,21,47,87,134,549,C,58044000
Manu Ginobili,12981038,34,34,7,792,0.526,0.413,0.871,18,98,151,24,12,64,56,440,SG,58044000
James Anderson,1463520,22,51,2,603,0.379,0.279,0.75,16,63,41,8,2,30,35,190,SG,58044000
Cory Joseph,1028400,20,29,1,266,0.314,0.2,0.647,5,20,34,7,3,12,16,58,PG,58044000
T.J. Ford,1146337,28,14,0,191,0.442,0.25,0.786,3,15,45,9,2,23,23,51,PG,58044000
Eric Dawson,38172,27,4,0,39,0.583,0,0.5,5,5,0,1,2,3,6,15,C,58044000
Malcolm Thomas,103104,23,3,0,15,0,0,0.5,1,2,1,1,1,0,0,1,PF,58044000
Ike Diogu,64028,28,2,0,14,0,0,1,0,1,0,0,0,1,1,2,PF,58044000
John Wall,5530080,21,66,66,2386,0.423,0.071,0.789,48,252,530,95,57,255,137,1076,PG,58044000
Jordan Crawford,1120440,23,64,32,1753,0.4,0.289,0.793,44,124,190,59,5,141,111,938,SG,58044000
Chris Singleton,1485000,22,66,51,1431,0.372,0.346,0.682,43,190,49,70,30,38,176,306,SF,58044000
Trevor Booker,1294920,24,50,32,1261,0.531,0.5,0.602,119,206,40,48,43,58,138,419,PF,58044000
Nick Young,3695857,26,40,32,1211,0.406,0.371,0.862,20,77,46,30,11,59,90,665,SG,58044000
Kevin Seraphin,1680360,22,57,21,1176,0.531,0,0.671,103,177,33,19,76,66,133,453,C,58044000
JaVale McGee,2462400,24,41,40,1124,0.535,0,0.5,127,235,25,25,101,68,118,486,C,58044000
Jan Vesely,3065040,21,57,20,1078,0.537,0,0.532,101,148,47,39,32,60,156,267,PF,58044000
Shelvin Mack,473604,21,64,0,779,0.4,0.286,0.712,12,80,131,28,2,48,50,230,PG,58044000
Rashard Lewis,21136631,32,28,15,729,0.385,0.239,0.838,34,75,27,23,10,32,49,217,SF,58044000
Roger Mason,1146337,31,52,0,697,0.399,0.383,0.778,7,62,47,13,5,32,33,286,SG,58044000
Andray Blatche,6442083,25,26,13,626,0.38,0.286,0.673,42,108,28,20,17,37,54,221,PF,58044000
Maurice Evans,1223166,33,24,0,343,0.402,0.378,0.769,8,16,9,14,0,10,36,117,SF,58044000
Ronny Turiaf,4360000,29,4,0,58,1,0,0,1,11,5,6,3,6,7,6,C,58044000
Hamady N'Diaye,270427,25,3,0,3,0,0,0,0,0,0,0,0,0,0,0,C,58044000
Gerald Henderson,2250600,24,55,55,1831,0.459,0.234,0.76,64,161,126,49,20,100,128,830,SG,58044000
Kemba Walker,2356320,21,66,25,1792,0.366,0.305,0.789,30,204,289,60,20,119,79,799,PG,58044000
Byron Mullens,1288200,22,65,25,1465,0.425,0.235,0.821,96,231,57,21,52,74,137,606,C,58044000
