Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Dirk Nowitzki,19092873,33,62,62,2079,0.457,0.368,0.896,46,372,136,42,30,117,129,1342,PF,58044000
Jason Terry,11158000,34,63,1,2000,0.43,0.378,0.883,16,133,226,73,11,127,69,950,SG,58044000
Shawn Marion,8022449,33,63,63,1919,0.446,0.294,0.796,145,320,132,67,36,98,87,670,SF,58044000
Vince Carter,3000000,35,61,40,1542,0.411,0.361,0.826,32,173,139,56,25,84,134,615,SG,58044000
Jason Kidd,10121000,38,48,48,1379,0.363,0.354,0.786,15,183,264,82,10,91,83,299,PG,58044000
Rodrigue Beaubois,1236720,23,53,12,1151,0.422,0.288,0.841,19,132,152,56,28,70,98,472,PG,58044000
Brendan Haywood,7624500,32,54,54,1146,0.518,0,0.469,139,185,19,24,54,46,121,281,C,58044000
Delonte West,1146337,28,44,33,1060,0.461,0.355,0.886,13,88,139,58,11,76,67,421,PG,58044000
Lamar Odom,8900000,32,50,4,1027,0.352,0.252,0.592,36,172,83,20,18,52,97,332,SF,58044000
Brian Cardinal,1352181,34,44,0,277,0.255,0.204,0.833,4,30,16,8,2,8,38,43,SF,58044000
Dominique Jones,1193280,23,33,1,268,0.397,0.125,0.784,9,35,42,10,5,28,28,88,SG,58044000
Yi Jianlian,827197,24,30,0,203,0.378,0.3,0.667,12,37,5,7,8,14,23,79,PF,58044000
David Lee,11610000,28,57,57,2121,0.503,0,0.782,171,374,162,54,22,149,179,1147,PF,58044000
Brandon Rush,2956658,26,65,1,1717,0.501,0.452,0.793,33,218,88,35,58,68,64,634,SF,58044000
Dorell Wright,3823000,26,61,61,1650,0.422,0.36,0.816,60,218,94,58,26,51,97,629,SF,58044000
Klay Thompson,2126520,21,66,29,1608,0.443,0.414,0.868,24,137,133,49,20,103,155,826,SG,58044000
Monta Ellis,11000000,26,37,37,1365,0.433,0.321,0.812,16,111,223,56,12,123,84,811,SG,58044000
Nate Robinson,983307,27,51,9,1192,0.424,0.365,0.832,15,85,231,59,2,75,118,570,PG,58044000
Dominic McGuire,915852,26,64,6,1127,0.448,0,0.736,73,173,110,44,36,56,104,227,PF,58044000
Charles Jenkins,473604,22,51,28,893,0.447,0.15,0.872,8,60,170,33,6,60,85,297,PG,58044000
Ekpe Udoh,3294960,24,38,6,827,0.443,0,0.719,58,89,31,25,65,35,115,210,C,58044000
Andris Biedrins,9000000,25,47,35,739,0.609,0,0.111,45,131,16,23,45,14,125,79,C,58044000
Stephen Curry,3117120,23,26,23,732,0.49,0.455,0.809,15,73,138,39,8,65,62,383,PG,58044000
Jeremy Tyler,650000,20,42,23,568,0.421,0,0.558,54,86,16,16,20,36,84,205,C,58044000
Kwame Brown,6750000,29,9,3,187,0.525,0,0.441,16,41,4,8,0,14,21,57,C,58044000
Chris Wright,473604,23,24,1,186,0.511,0,0.774,19,26,4,7,13,8,22,70,SF,58044000
Ish Smith,116768,23,6,1,63,0.4,0.4,0.5,2,7,9,4,0,1,4,27,PG,58044000
Earl Barron,185588,30,2,0,9,0.5,0,0,1,0,0,0,0,0,5,4,C,58044000
Luis Scola,8591793,31,66,66,2067,0.491,0,0.773,122,306,140,35,24,153,214,1025,PF,58044000
Chandler Parsons,850000,23,63,57,1804,0.452,0.337,0.551,90,210,134,73,29,81,142,599,SF,58044000
Courtney Lee,2225093,26,58,26,1757,0.433,0.401,0.826,26,133,88,68,22,64,106,660,SG,58044000
Goran Dragic,2108000,25,66,28,1752,0.462,0.337,0.805,53,115,351,85,10,157,166,775,PG,58044000
Kyle Lowry,5750000,25,47,38,1510,0.409,0.374,0.864,37,176,310,73,14,130,133,670,PG,58044000
Patrick Patterson,1959960,22,64,1,1483,0.44,0,0.702,112,174,53,27,36,49,113,490,PF,58044000
Samuel Dalembert,7000000,30,65,45,1446,0.506,0,0.796,158,298,33,37,111,82,162,490,C,58044000
Chase Budinger,854389,23,58,9,1298,0.442,0.402,0.771,38,179,74,29,7,55,65,558,SF,58044000
Kevin Martin,11519840,28,40,40,1264,0.413,0.347,0.894,13,93,110,28,3,70,70,682,SG,58044000
Jordan Hill,2855760,24,32,7,469,0.504,0,0.641,47,108,14,9,21,24,60,161,C,58044000
Terrence Williams,2369040,24,12,0,181,0.351,0.421,0.5,2,26,10,4,1,10,16,54,SG,58044000
Jonny Flynn,3414720,22,11,0,135,0.293,0.222,0.786,1,7,28,3,1,9,8,37,PG,58044000
Marcus Morris,1823280,22,17,0,126,0.296,0.118,0.75,5,11,3,2,2,4,12,40,PF,58044000
Greg Smith,301733,21,8,0,69,0.636,0,0,5,15,1,2,5,1,17,14,C,58044000
Jeff Adrien,270427,25,8,0,63,0.438,0,0.583,5,17,1,0,2,2,13,21,PF,58044000
Hasheem Thabeet,5127720,24,5,0,23,1,0,0,1,6,0,0,2,0,5,6,C,58044000
Blake Griffin,5731080,22,66,66,2392,0.549,0.125,0.521,218,499,210,54,48,150,216,1368,PF,58044000
Chris Paul,16359805,26,60,60,2181,0.478,0.371,0.861,42,171,543,152,4,124,138,1189,PG,58044000
Caron Butler,8000000,31,63,63,1871,0.407,0.358,0.813,44,186,78,52,9,77,123,753,SF,58044000
DeAndre Jordan,10079404,23,66,66,1798,0.632,0,0.525,202,344,17,30,134,74,189,486,C,58044000
Randy Foye,4250000,28,65,48,1682,0.398,0.386,0.859,25,113,146,46,24,73,130,712,SG,58044000
Mo Williams,8500000,29,52,1,1472,0.426,0.389,0.9,23,76,160,51,7,86,103,685,SG,58044000
Kenyon Martin,2500000,34,42,0,940,0.441,0.231,0.37,49,132,18,44,43,32,103,217,PF,58044000
Reggie Evans,1229255,31,56,0,771,0.472,0,0.507,100,171,17,31,6,44,118,104,PF,58044000
Chauncey Billups,2000032,35,20,20,607,0.364,0.384,0.895,4,46,80,9,3,38,40,299,SG,58044000
Eric Bledsoe,1596360,22,40,1,464,0.389,0.2,0.636,22,43,66,31,14,47,58,132,PG,58044000
