Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Anthony Davis,5375760,20,67,66,2358,0.519,0.222,0.791,207,466,105,89,189,109,200,1394,C,58679000
Eric Gordon,14283844,25,64,64,2057,0.436,0.391,0.785,30,135,208,74,12,134,114,988,SG,58679000
Al-Farouq Aminu,3700000,23,80,65,2045,0.474,0.271,0.664,129,367,114,82,38,88,147,572,SF,58679000
Tyreke Evans,10300000,24,72,22,2028,0.436,0.221,0.771,76,265,363,84,21,175,155,1042,SF,58679000
Brian Roberts,788872,28,72,42,1667,0.42,0.36,0.94,17,119,234,43,7,95,132,677,PG,58679000
Anthony Morrow,1027424,28,76,9,1426,0.458,0.451,0.828,29,111,59,38,12,51,102,636,SG,58679000
Austin Rivers,2339040,21,69,4,1339,0.405,0.364,0.636,26,103,160,45,9,77,134,530,SG,58679000
Jrue Holiday,9213484,23,34,34,1143,0.447,0.39,0.81,28,114,268,56,12,105,92,487,PG,58679000
Greg Stiemsma,2676000,28,55,20,1007,0.574,0,0.594,72,154,36,35,57,44,169,159,C,58679000
Jason Smith,2500000,27,31,27,830,0.465,0,0.78,51,130,29,11,29,28,100,301,PF,58679000
Ryan Anderson,8308500,25,22,14,795,0.438,0.409,0.952,66,76,17,10,7,20,47,436,PF,58679000
Darius Miller,788872,23,45,7,723,0.44,0.325,0.806,9,43,43,24,9,22,88,200,SF,58679000
Lance Thomas,884293,25,5,0,42,0.222,0,0.5,2,5,3,0,0,2,4,6,SF,58679000
Goran Dragic,7500000,27,76,75,2668,0.505,0.408,0.76,69,176,447,104,22,213,206,1542,SG,58679000
P.J. Tucker,884293,28,81,81,2490,0.431,0.387,0.776,161,368,141,110,23,102,204,760,SF,58679000
Gerald Green,3500000,28,82,48,2330,0.445,0.4,0.848,48,227,122,70,42,145,220,1295,SG,58679000
Channing Frye,6400000,30,82,82,2312,0.432,0.37,0.821,73,343,98,60,63,89,245,910,PF,58679000
Markieff Morris,2091840,24,81,0,2153,0.486,0.315,0.792,139,346,144,68,51,147,232,1115,PF,58679000
Miles Plumlee,1121520,25,80,79,1964,0.517,0,0.561,198,428,43,50,90,111,185,646,C,58679000
Marcus Morris,1987320,24,82,1,1800,0.442,0.381,0.761,84,235,88,72,18,95,157,796,SF,58679000
Eric Bledsoe,2626473,24,43,40,1416,0.477,0.357,0.772,27,175,235,69,14,143,99,763,PG,58679000
Archie Goodwin,1064400,19,52,0,533,0.455,0.139,0.673,25,62,20,20,11,44,45,194,SG,58679000
Alex Len,3492720,20,42,3,362,0.423,0,0.645,39,60,4,4,18,26,68,86,C,58679000
Isaiah Thomas,884293,24,72,54,2497,0.453,0.349,0.85,47,163,454,93,8,213,185,1465,PG,58679000
DeMarcus Cousins,4916974,23,71,71,2298,0.496,0,0.726,218,613,207,109,91,251,270,1614,C,58679000
Ben McLemore,2895960,20,82,55,2187,0.376,0.32,0.804,53,182,82,45,18,96,201,720,SG,58679000
Jason Thompson,5643750,27,82,61,2007,0.506,0,0.579,153,374,53,32,56,95,251,586,PF,58679000
Rudy Gay,17888931,27,55,55,1892,0.482,0.312,0.836,84,220,169,67,33,165,124,1107,SF,58679000
Marcus Thornton,8050000,26,46,26,1121,0.381,0.318,0.808,39,85,47,31,8,38,74,383,SG,58679000
Travis Outlaw,3000000,29,63,4,1065,0.399,0.35,0.808,36,132,48,20,19,26,94,343,SF,58679000
Greivis Vasquez,2150188,27,18,18,465,0.433,0.32,0.938,5,29,95,6,1,27,38,176,PG,58679000
Jimmer Fredette,2439840,24,41,0,463,0.475,0.493,0.895,7,38,61,14,3,44,28,241,SG,58679000
John Salmons,7583000,34,18,8,445,0.35,0.381,1,8,38,44,12,8,14,32,105,SF,58679000
Patrick Patterson,3105302,24,17,6,415,0.41,0.231,0.563,34,65,15,13,3,16,39,118,PF,58679000
Carl Landry,6500000,30,18,1,233,0.517,0,0.824,15,42,5,3,1,9,34,76,PF,58679000
Luc Mbah a Moute,4588384,27,9,5,196,0.469,0.333,0.692,9,18,15,9,5,4,18,40,SF,58679000
Chuck Hayes,5722500,30,16,1,179,0.438,0,0.714,20,27,6,11,2,7,18,33,C,58679000
Tim Duncan,10361446,37,74,74,2158,0.49,0,0.731,158,563,220,43,139,159,134,1119,C,58679000
Marco Belinelli,2750000,27,80,25,2016,0.485,0.43,0.847,18,208,179,50,7,95,130,911,SF,58679000
Tony Parker,12500000,31,68,68,1997,0.499,0.373,0.811,17,138,388,36,9,151,86,1134,PG,58679000
Boris Diaw,4702500,31,79,24,1974,0.521,0.402,0.739,74,252,222,44,32,121,140,717,PF,58679000
Kawhi Leonard,1887840,22,66,65,1923,0.522,0.379,0.802,76,336,133,114,50,80,127,844,SF,58679000
Danny Green,3762500,26,68,59,1651,0.432,0.415,0.794,25,204,104,65,61,76,107,618,SG,58679000
Manu Ginobili,7500000,36,68,3,1550,0.469,0.349,0.851,30,172,293,70,17,139,128,838,SG,58679000
Patrick Mills,1133950,25,81,2,1527,0.464,0.425,0.89,34,135,149,68,9,63,114,826,C,58679000
Tiago Splitter,10000000,29,59,50,1271,0.523,0,0.699,123,240,90,29,31,75,117,483,C,58679000
Jeff Ayres,1750000,26,73,10,952,0.58,0,0.691,89,169,60,13,25,63,146,240,PF,58679000
