Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Monta Ellis,8360000,29,80,80,2699,0.445,0.285,0.752,34,156,329,148,25,198,197,1513,SG,63065000
Tyson Chandler,14598888,32,75,75,2286,0.666,0,0.72,294,570,84,42,91,105,169,771,C,63065000
Dirk Nowitzki,7974482,36,77,77,2282,0.459,0.38,0.882,44,413,143,39,33,82,160,1333,PF,63065000
Chandler Parsons,14700000,26,66,66,2186,0.462,0.38,0.72,64,259,161,69,19,96,140,1037,SF,63065000
Devin Harris,3878000,31,76,3,1685,0.418,0.357,0.815,13,122,237,78,14,85,147,665,PG,63065000
Al-Farouq Aminu,981084,24,74,3,1366,0.412,0.274,0.712,114,228,59,70,62,55,137,412,SF,63065000
Rajon Rondo,12909091,28,46,46,1319,0.436,0.352,0.452,48,160,301,54,4,135,111,426,PG,63065000
Richard Jefferson,1448490,34,74,18,1244,0.444,0.426,0.684,25,158,61,32,11,52,115,432,SF,63065000
Charlie Villanueva,1316809,30,64,1,678,0.414,0.376,0.571,30,119,19,15,22,28,64,403,PF,63065000
Amar'e Stoudemire,485670,32,23,1,380,0.581,0,0.678,27,57,8,9,4,15,50,248,PF,63065000
Greg Smith,948163,24,42,2,363,0.612,0,0.513,26,53,9,7,11,11,53,80,PF,63065000
Raymond Felton,3793693,30,29,3,281,0.406,0.294,0.8,2,24,41,11,4,18,17,108,PG,63065000
Dwight Powell,507336,23,24,0,227,0.435,0.273,0.774,18,31,9,7,6,9,39,81,PF,63065000
Bernard James,915243,29,16,2,158,0.444,0,0.87,18,21,4,2,15,6,17,44,C,63065000
Ricky Ledo,816482,22,5,0,11,0,0,0.5,1,1,1,0,0,2,1,1,SG,63065000
Stephen Curry,10629213,26,80,80,2613,0.487,0.443,0.914,56,285,619,163,16,249,158,1900,PG,63065000
Draymond Green,915243,24,79,79,2490,0.443,0.337,0.66,114,533,291,123,99,133,253,921,PF,63065000
Klay Thompson,3075880,24,77,77,2455,0.463,0.439,0.879,27,220,222,87,60,149,122,1668,SG,63065000
Harrison Barnes,3049920,22,82,82,2318,0.482,0.405,0.72,117,336,116,61,19,71,146,827,SF,63065000
Andre Iguodala,12289544,31,77,0,2069,0.466,0.349,0.596,44,213,228,89,25,88,100,604,SG,63065000
Andrew Bogut,12972973,30,67,65,1583,0.563,0,0.524,141,402,180,39,113,106,188,422,C,63065000
Shaun Livingston,5305000,29,78,2,1468,0.5,0,0.714,43,140,259,49,20,102,110,461,PG,63065000
Marreese Speights,3657500,27,76,9,1207,0.492,0.278,0.843,109,216,72,20,34,82,189,791,PF,63065000
Leandro Barbosa,1448490,32,66,1,982,0.474,0.384,0.784,23,68,99,41,8,44,87,467,SG,63065000
David Lee,15012000,31,49,4,904,0.511,0,0.654,81,176,85,31,26,49,83,388,PF,63065000
Justin Holiday,816482,25,59,4,657,0.387,0.321,0.822,12,61,48,40,12,29,54,254,SG,63065000
Festus Ezeli,1112880,25,46,7,504,0.547,0,0.628,60,95,9,7,42,32,77,201,C,63065000
Brandon Rush,1145685,29,33,0,271,0.204,0.111,0.455,4,37,12,5,12,11,27,30,SG,63065000
James Michael McAdoo,167122,22,15,0,137,0.545,0,0.56,15,22,2,5,9,6,21,62,PF,63065000
Ognjen Kuzmic,816482,24,16,0,72,0.667,0,1,7,10,6,2,1,5,13,20,C,63065000
James Harden,14728844,25,81,81,2981,0.44,0.375,0.868,75,384,565,154,60,321,208,2217,SG,63065000
Trevor Ariza,8579089,29,82,82,2930,0.402,0.35,0.853,77,382,209,152,17,141,186,1048,SF,63065000
Donatas Motiejunas,1483920,24,71,62,2037,0.504,0.368,0.602,137,284,130,56,34,123,203,855,PF,63065000
Patrick Beverley,915243,26,56,55,1727,0.383,0.356,0.75,67,170,192,59,23,83,182,568,PG,63065000
Jason Terry,5850313,37,77,18,1641,0.422,0.39,0.813,15,106,147,66,19,74,116,541,SG,63065000
Corey Brewer,4702500,28,56,1,1407,0.429,0.284,0.764,48,155,95,60,15,81,111,666,SF,63065000
Josh Smith,2077000,29,55,7,1404,0.438,0.33,0.521,100,228,145,50,68,134,146,660,PF,63065000
Dwight Howard,21436271,29,41,41,1223,0.593,0.5,0.528,110,321,50,28,53,115,137,646,C,63065000
Terrence Jones,1618680,23,33,24,889,0.528,0.351,0.606,78,142,36,18,59,37,78,386,PF,63065000
Joey Dorsey,948163,31,69,17,854,0.552,0,0.289,103,176,25,40,25,41,157,184,PF,63065000
Kostas Papanikolaou,4800000,24,43,1,795,0.35,0.292,0.722,39,79,85,29,13,55,71,182,SF,63065000
Pablo Prigioni,1662961,37,24,0,402,0.343,0.275,0.867,12,27,67,27,0,15,35,73,PG,63065000
Nick Johnson,507336,22,28,0,262,0.347,0.238,0.68,13,26,11,7,3,19,34,74,SG,63065000
Francisco Garcia,1316809,33,14,0,200,0.27,0.222,0.25,3,14,15,9,5,10,20,45,SF,63065000
Clint Capela,1189200,20,12,0,90,0.483,0,0.174,10,26,2,1,9,5,14,32,C,63065000
K.J. McDaniels,507336,21,10,0,33,0.333,0,0.5,1,4,2,0,2,1,5,11,SG,63065000
Chris Paul,20068563,29,82,82,2857,0.485,0.398,0.9,52,324,838,156,15,190,203,1564,PG,63065000
DeAndre Jordan,11440124,26,82,82,2820,0.71,0.25,0.397,397,829,61,81,183,109,245,946,C,63065000
J.J. Redick,6583500,30,78,78,2409,0.477,0.437,0.901,22,145,137,39,8,95,134,1277,SG,63065000
Blake Griffin,17674612,25,67,67,2356,0.502,0.4,0.728,126,382,354,63,35,152,196,1469,PF,63065000
Matt Barnes,3396250,34,76,74,2271,0.444,0.362,0.779,51,251,114,67,50,87,240,764,SF,63065000
Jamal Crawford,5450000,34,64,4,1703,0.396,0.327,0.901,18,106,158,59,14,92,108,1010,SG,63065000
Spencer Hawes,5305000,26,73,15,1274,0.393,0.313,0.647,30,228,88,24,53,61,173,425,PF,63065000
Glen Davis,1227985,29,74,0,904,0.459,0,0.632,43,126,39,41,21,39,132,294,PF,63065000
Austin Rivers,2439840,22,41,2,791,0.427,0.309,0.582,15,69,68,30,7,35,81,291,PG,63065000
Hedo Turkoglu,1448490,35,62,2,705,0.441,0.432,0.545,5,94,37,19,7,29,66,232,SF,63065000
Jordan Farmar,2077000,28,36,0,529,0.386,0.361,0.909,8,34,67,20,5,32,52,167,PG,63065000
Ekpe Udoh,981084,27,33,0,128,0.458,0,0.778,7,19,8,8,7,7,20,29,PF,63065000
Nate Robinson,154918,30,9,0,126,0.333,0.35,0.833,3,8,20,6,0,8,8,46,PG,63065000
Dahntay Jones,387632,34,33,0,123,0.286,0,0.818,1,10,2,3,0,1,23,21,SF,63065000
Jordan Hamilton,150591,24,14,2,122,0.4,0.476,0,2,14,7,2,0,4,14,38,SF,63065000
C.J. Wilcox,1109760,24,21,0,101,0.421,0.368,1,1,6,8,3,1,10,7,41,SG,63065000
Lester Hudson,55774,30,5,0,56,0.429,0.5,0.75,1,7,5,6,1,3,4,18,SG,63065000
Wesley Johnson,981084,27,76,59,2245,0.414,0.351,0.804,67,252,124,59,45,87,162,753,SG,63065000
Jeremy Lin,8374646,26,74,30,1907,0.424,0.369,0.795,26,170,339,82,32,166,189,832,PG,63065000
Jordan Hill,9000000,27,70,57,1874,0.459,0.273,0.738,174,382,103,34,52,106,164,841,C,63065000
Ed Davis,981084,25,79,24,1840,0.601,0,0.487,230,370,94,49,98,58,202,656,PF,63065000
Carlos Boozer,3250000,33,71,26,1692,0.499,0,0.627,111,371,95,41,12,92,184,836,PF,63065000
Wayne Ellington,1063384,27,65,36,1675,0.412,0.37,0.813,31,179,105,33,2,50,77,650,SG,63065000
Jordan Clarkson,507336,22,59,38,1476,0.448,0.314,0.829,56,135,206,51,12,96,109,703,PG,63065000
Ryan Kelly,1650000,23,52,34,1233,0.337,0.336,0.832,13,133,92,30,24,37,118,332,PF,63065000
Kobe Bryant,23500000,36,35,35,1207,0.373,0.293,0.813,26,173,197,47,7,128,65,782,SG,63065000
Robert Sacre,915243,25,67,18,1133,0.412,0,0.671,89,144,55,28,43,36,121,307,C,63065000
Nick Young,4994420,29,42,0,1000,0.366,0.369,0.892,17,79,41,23,11,44,83,563,SG,63065000
Ronnie Price,1316809,31,43,20,982,0.345,0.284,0.8,19,50,165,67,4,52,118,221,PG,63065000
Tarik Black,507336,23,38,27,803,0.589,0,0.562,84,157,34,13,22,29,102,274,C,63065000
