Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
O.J. Mayo,4020000,25,82,82,2913,0.449,0.407,0.82,36,255,361,93,23,210,195,1255,SG,58044000
Darren Collison,2319344,25,81,47,2372,0.471,0.353,0.88,31,188,415,100,8,173,139,972,PG,58044000
Vince Carter,3090000,36,81,3,2093,0.435,0.406,0.816,58,276,194,74,44,106,226,1088,SF,58044000
Shawn Marion,8646364,34,67,67,2010,0.514,0.315,0.782,146,379,163,75,47,103,111,812,PF,58044000
Dirk Nowitzki,20907128,34,53,47,1661,0.471,0.414,0.86,37,326,132,38,37,70,93,917,PF,58044000
Elton Brand,2100500,33,72,18,1527,0.473,0,0.71,130,300,70,50,90,57,192,518,C,58044000
Chris Kaman,8000000,30,66,52,1363,0.507,0,0.788,97,275,51,29,52,103,141,693,C,58044000
Jae Crowder,600491,22,78,16,1353,0.384,0.328,0.644,35,152,94,63,17,49,128,392,SF,58044000
Mike James,795401,37,45,23,862,0.373,0.384,0.793,9,63,139,26,3,55,95,273,PG,58044000
Rodrigue Beaubois,2227333,24,45,0,549,0.369,0.292,0.789,9,48,84,19,4,33,54,181,PG,58044000
Bernard James,473604,27,46,11,457,0.515,0,0.61,52,79,6,12,38,18,64,131,C,58044000
Dominique Jones,1276560,24,29,3,338,0.367,0.111,0.66,18,27,83,14,2,38,29,116,PG,58044000
Troy Murphy,214758,32,14,1,256,0.361,0.314,0.909,7,42,7,10,6,7,29,65,PF,58044000
Derek Fisher,182942,38,9,9,229,0.354,0.435,0.913,0,15,31,5,2,18,24,77,PG,58044000
Anthony Morrow,4000000,27,17,0,82,0.5,0.2,1,1,3,4,1,0,4,10,39,SG,58044000
Chris Douglas-Roberts,72892,26,6,0,63,0.357,0,0.7,0,5,4,2,0,1,4,17,SG,58044000
Jared Cunningham,1156320,21,8,0,26,0.429,0.667,1,1,2,1,1,0,2,3,16,SG,58044000
Eddy Curry,23852,30,2,0,25,0.5,0,0.25,2,2,0,0,0,3,7,9,C,58044000
Stephen Curry,3958742,24,78,78,2983,0.451,0.453,0.9,59,255,539,126,12,240,198,1786,PG,58044000
Klay Thompson,2286000,22,82,82,2936,0.422,0.401,0.841,32,274,183,86,45,157,237,1359,SG,58044000
