Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
David Lee,12744000,29,79,79,2907,0.519,0,0.797,218,668,279,67,22,207,246,1459,PF,58044000
Jarrett Jack,5400000,29,79,4,2349,0.452,0.404,0.843,21,222,439,60,11,157,134,1023,SG,58044000
Harrison Barnes,2798040,20,81,81,2058,0.439,0.359,0.758,53,280,98,52,14,101,140,748,SF,58044000
Carl Landry,4000000,29,81,2,1876,0.54,0.333,0.817,180,303,65,35,31,115,190,874,PF,58044000
Festus Ezeli,1020960,23,78,41,1120,0.438,0,0.531,141,172,22,23,74,63,157,191,C,58044000
Draymond Green,850000,22,79,1,1061,0.327,0.209,0.818,58,202,53,42,25,51,159,227,SF,58044000
Andrew Bogut,13000000,28,32,32,786,0.451,1,0.5,68,177,67,20,55,35,85,186,C,58044000
Richard Jefferson,10164000,32,56,1,568,0.456,0.311,0.717,5,79,31,14,7,23,45,176,SF,58044000
Andris Biedrins,9000000,26,53,9,495,0.476,0,0.308,34,119,14,15,42,14,101,24,C,58044000
Kent Bazemore,473604,23,61,0,267,0.371,0.294,0.614,5,17,22,17,4,18,27,123,SG,58044000
Brandon Rush,4000000,27,2,0,25,0.667,0,0.667,0,1,2,0,0,3,5,14,SF,58044000
James Harden,5820417,23,78,78,2985,0.438,0.368,0.851,62,317,455,142,38,295,178,2023,SG,58044000
Chandler Parsons,888250,24,76,76,2758,0.486,0.385,0.729,79,325,269,75,32,147,148,1177,SF,58044000
Jeremy Lin,8374646,24,82,82,2640,0.441,0.339,0.785,32,215,497,134,29,236,205,1095,PG,58044000
Omer Asik,8374646,26,82,82,2464,0.541,0,0.562,275,681,75,46,87,173,223,832,C,58044000
Carlos Delfino,3000000,30,67,5,1689,0.405,0.375,0.857,18,202,135,68,9,72,114,708,SF,58044000
Greg Smith,762195,22,70,10,1110,0.62,0,0.623,111,210,25,18,40,41,175,421,C,58044000
Patrick Beverley,281377,24,41,0,713,0.418,0.375,0.829,45,64,117,37,21,44,83,228,PG,58044000
Donatas Motiejunas,1453520,22,44,14,538,0.455,0.289,0.627,36,57,31,7,10,37,73,250,PF,58044000
Francisco Garcia,6100000,31,18,5,319,0.432,0.386,0.857,1,22,20,14,7,12,22,115,SF,58044000
James Anderson,472427,23,29,2,307,0.406,0.327,0.895,15,43,33,12,3,18,18,115,SG,58044000
Terrence Jones,1485000,21,19,0,276,0.457,0.263,0.765,28,37,15,12,19,13,21,104,PF,58044000
Thomas Robinson,3374640,21,19,0,247,0.449,0,0.421,30,47,10,16,5,23,29,86,PF,58044000
Daequan Cook,3090042,25,16,1,165,0.356,0.367,0.667,5,13,10,6,2,6,13,55,SG,58044000
Scott Machado,192228,22,6,0,21,0.5,0,1,0,1,6,2,0,8,0,8,PG,58044000
Tim Ohlbrecht,144867,24,3,0,12,0.333,0,1,0,1,1,1,0,4,1,3,C,58044000
Blake Griffin,7226892,23,80,80,2598,0.538,0.179,0.66,186,476,299,97,50,185,231,1440,PF,58044000
Chris Paul,17779458,27,70,70,2335,0.481,0.328,0.885,53,209,678,169,10,159,143,1186,PG,58044000
Jamal Crawford,5000000,32,76,0,2230,0.438,0.376,0.871,22,106,193,79,13,146,71,1255,SG,58044000
Matt Barnes,1229255,32,80,4,2058,0.462,0.342,0.744,111,255,123,82,63,90,233,822,SF,58044000
DeAndre Jordan,10532977,24,82,82,2010,0.643,0,0.386,210,384,28,48,112,100,192,724,C,58044000
Caron Butler,8000000,32,78,78,1879,0.424,0.388,0.833,41,182,78,51,11,72,139,813,SF,58044000
Lamar Odom,8200000,33,82,2,1616,0.399,0.2,0.476,117,363,142,69,58,86,214,330,PF,58044000
Eric Bledsoe,1707720,23,76,12,1553,0.445,0.397,0.791,78,147,233,109,55,137,112,643,PG,58044000
Willie Green,1475106,31,72,60,1188,0.461,0.428,0.719,17,80,55,29,12,31,96,450,SG,58044000
Ronny Turiaf,1146337,30,65,0,701,0.505,0,0.365,45,107,35,19,35,29,80,121,C,58044000
Ryan Hollins,1069509,28,60,0,663,0.614,0,0.75,50,89,11,6,34,44,133,206,C,58044000
Grant Hill,1975000,40,29,0,437,0.388,0.273,0.583,6,43,26,11,7,25,39,93,SF,58044000
Chauncey Billups,4000000,36,22,22,418,0.402,0.367,0.938,2,30,49,12,1,26,25,184,SG,58044000
Kobe Bryant,27849149,34,78,78,3013,0.463,0.324,0.839,66,367,469,106,25,287,173,2133,SG,58044000
Dwight Howard,19536360,27,76,76,2722,0.578,0.167,0.492,251,694,108,84,186,225,291,1296,C,58044000
Metta World Peace,7258960,33,75,66,2530,0.403,0.342,0.734,101,271,112,122,42,98,198,929,SF,58044000
Jodie Meeks,1500000,25,78,10,1663,0.387,0.357,0.896,37,134,69,58,5,52,103,618,SG,58044000
Pau Gasol,19000000,32,49,42,1655,0.466,0.286,0.702,111,310,200,24,61,104,93,673,PF,58044000
Antawn Jamison,1352181,36,76,6,1636,0.464,0.361,0.691,109,253,50,30,22,53,124,712,PF,58044000
Steve Nash,8900000,38,50,50,1627,0.497,0.438,0.922,26,116,333,30,5,126,70,636,PG,58044000
Earl Clark,1240000,25,59,36,1363,0.44,0.337,0.697,82,243,65,36,44,62,102,428,PF,58044000
Steve Blake,4000000,32,45,13,1175,0.422,0.421,0.771,21,111,173,34,6,62,83,327,PG,58044000
Chris Duhon,3500000,30,46,9,820,0.382,0.363,0.462,11,57,133,20,1,40,56,133,PG,58044000
Darius Morris,962195,22,48,17,683,0.388,0.364,0.649,24,33,76,21,2,45,58,194,PG,58044000
Jordan Hill,3632527,25,29,1,458,0.497,0,0.656,82,84,13,8,19,26,55,194,PF,58044000
Robert Sacre,473604,23,32,3,203,0.375,0,0.636,9,25,6,0,10,10,38,43,C,58044000
Devin Ebanks,1054389,23,19,3,197,0.329,0.273,0.786,10,31,10,3,1,11,23,65,SF,58044000
Darius Johnson-Odom,192228,23,4,0,6,0,0,0,1,3,1,0,0,0,0,0,SG,58044000
Kevin Love,13668750,24,18,18,618,0.352,0.217,0.704,64,188,42,13,9,39,34,330,PF,58044000
Chase Budinger,885120,24,23,1,508,0.414,0.321,0.762,15,56,25,14,7,23,29,216,SF,58044000
Malcolm Lee,762195,22,16,12,289,0.382,0.333,0.6,15,24,20,12,6,10,30,78,SG,58044000
Chris Johnson,447298,27,30,0,284,0.64,0,0.618,20,40,8,7,28,13,49,117,C,58044000
Josh Howard,1229255,32,11,4,207,0.403,0.313,0.583,9,27,4,10,3,10,18,74,SF,58044000
Lou Amundson,1069509,30,20,0,161,0.368,0,0.2,23,24,3,7,6,11,26,32,PF,58044000
Brandon Roy,5100000,28,5,5,122,0.314,0,0.7,3,11,23,3,0,7,5,29,SG,58044000
Lazar Hayward,80413,26,4,0,31,0.2,0,1,0,4,3,2,0,0,3,10,SF,58044000
Will Conroy,85439,30,4,0,20,0,0,0.5,1,0,0,0,0,0,1,1,PG,58044000
Andre Iguodala,14968250,29,80,80,2779,0.451,0.317,0.574,82,341,433,139,52,206,127,1038,SG,58044000
Ty Lawson,2544529,25,73,71,2513,0.461,0.366,0.756,36,162,501,107,8,182,135,1216,PG,58044000
Danilo Gallinari,9439000,24,71,71,2309,0.418,0.373,0.822,65,302,176,64,36,111,130,1149,SF,58044000
Kenneth Faried,1348800,23,80,80,2248,0.552,0,0.613,260,474,77,81,83,113,234,923,PF,58044000
Andre Miller,5000000,36,82,11,2151,0.479,0.266,0.84,60,178,484,73,11,172,159,786,PG,58044000
Corey Brewer,3243000,26,82,2,2003,0.425,0.296,0.69,55,180,124,118,23,102,154,990,SF,58044000
Kosta Koufos,3000000,23,81,81,1817,0.581,0,0.558,211,351,32,44,103,53,246,648,C,58044000
JaVale McGee,10000000,25,79,0,1433,0.575,1,0.591,158,223,24,30,157,90,184,717,C,58044000
Wilson Chandler,5930414,25,43,8,1079,0.462,0.413,0.793,45,173,58,45,12,60,119,560,PF,58044000
Evan Fournier,1361400,20,38,4,428,0.493,0.407,0.769,6,29,44,19,1,32,65,202,SG,58044000
Jordan Hamilton,1153800,22,40,1,397,0.418,0.37,0.5,32,63,23,15,8,19,24,208,SF,58044000
Timofey Mozgov,3140429,26,41,1,366,0.506,0,0.769,50,57,9,6,18,25,57,108,C,58044000
Anthony Randolph,1674641,23,39,0,329,0.491,0,0.689,29,66,12,19,21,37,41,143,PF,58044000
Julyan Stone,762195,24,4,0,28,1,0,0.75,2,1,2,1,0,2,4,7,PG,58044000
Quincy Miller,473604,20,7,0,26,0.333,0,0.5,1,1,3,1,0,1,3,9,PF,58044000
Damian Lillard,3065040,22,82,82,3167,0.429,0.368,0.844,42,215,531,74,19,243,172,1562,PG,58044000
Nicolas Batum,10850000,24,73,73,2807,0.423,0.372,0.848,97,315,360,91,83,190,139,1047,SF,58044000
LaMarcus Aldridge,13500000,27,74,74,2790,0.484,0.143,0.81,175,495,192,62,91,143,187,1560,PF,58044000
Wesley Matthews,6505320,26,69,69,2403,0.436,0.398,0.797,35,156,174,90,18,109,172,1022,SG,58044000
J.J. Hickson,4000000,24,80,80,2323,0.562,0,0.679,266,562,88,48,51,145,160,1018,C,58044000
Meyers Leonard,2126520,20,69,9,1206,0.545,0.429,0.809,80,175,33,11,38,49,168,377,C,58044000
Will Barton,550000,22,73,5,894,0.382,0.138,0.769,36,109,58,34,9,60,56,295,SG,58044000
Victor Claver,1300000,24,49,16,812,0.392,0.287,0.467,31,88,43,26,12,43,75,187,SF,58044000
Luke Babbitt,1892280,23,62,0,730,0.368,0.348,0.769,15,122,29,14,5,22,82,244,PF,58044000
Eric Maynor,2338721,25,27,0,572,0.422,0.38,0.683,4,24,109,12,1,48,36,187,SG,58044000
Sasha Pavlovic,1232713,29,39,1,528,0.353,0.3,0.167,7,49,32,24,5,14,59,103,SG,58044000
Joel Freeland,3013512,25,51,1,477,0.408,0,0.667,40,79,13,13,11,19,67,134,PF,58044000
Jared Jeffries,1475106,31,38,0,350,0.296,0,0.522,26,34,14,6,6,17,58,44,PF,58044000
Nolan Smith,1404960,24,40,0,288,0.368,0.214,0.714,7,20,35,7,1,29,26,110,PG,58044000
Kevin Durant,16669630,24,81,81,3119,0.51,0.416,0.905,46,594,374,116,105,280,143,2280,SF,58044000
Russell Westbrook,13668750,24,82,82,2861,0.438,0.323,0.8,111,317,607,145,24,273,189,1903,PG,58044000
Serge Ibaka,2253062,23,80,80,2486,0.573,0.351,0.749,222,395,43,28,242,125,213,1055,PF,58044000
Thabo Sefolosha,3600000,28,81,81,2229,0.481,0.419,0.826,58,259,125,103,44,64,177,613,SG,58044000
Kevin Martin,12439675,29,77,0,2136,0.45,0.426,0.89,31,147,106,72,8,101,138,1077,SG,58044000
Kendrick Perkins,7800531,28,78,78,1954,0.457,0,0.611,110,356,111,43,83,109,227,330,C,58044000
Nick Collison,2929332,32,81,2,1583,0.595,0,0.769,123,210,121,51,30,69,197,412,C,58044000
Reggie Jackson,1243080,22,70,0,993,0.458,0.231,0.839,21,145,122,29,13,53,84,374,PG,58044000
Hasheem Thabeet,1200000,25,66,4,770,0.604,0,0.604,69,126,11,30,60,41,148,160,C,58044000
Derek Fisher,413608,38,24,0,346,0.333,0.351,0.933,2,20,16,14,1,12,31,98,SG,58044000
DeAndre Liggins,762195,24,39,1,290,0.447,0.368,0.5,13,40,15,18,3,14,33,58,SG,58044000
Perry Jones,1035960,21,38,1,280,0.394,0,0.667,12,50,10,5,6,15,23,88,SF,58044000
Jeremy Lamb,2020200,20,23,0,147,0.353,0.3,1,5,13,5,2,2,6,13,71,SF,58044000
Ronnie Brewer,1069509,27,14,0,142,0.261,0.2,0,13,27,10,9,0,4,6,13,SF,58044000
Daniel Orton,757712,22,13,0,104,0.462,0,0.529,13,13,4,4,3,4,13,33,C,58044000
Nikola Vucevic,1768800,22,77,77,2559,0.519,0,0.683,273,644,143,61,79,141,218,1008,C,58044000
Arron Afflalo,7750000,27,64,64,2307,0.439,0.3,0.857,29,210,206,40,11,138,137,1057,SF,58044000
Jameer Nelson,8600000,30,56,56,1977,0.392,0.341,0.873,23,186,413,71,6,154,161,822,PG,58044000
Maurice Harkless,1731960,19,76,59,1974,0.461,0.274,0.57,122,213,50,88,62,69,144,625,SF,58044000
E'Twaun Moore,762195,23,75,21,1682,0.396,0.34,0.797,48,119,206,51,23,105,122,588,SG,58044000
Andrew Nicholson,1418160,23,75,28,1249,0.527,0,0.798,69,189,44,24,32,79,133,587,PF,58044000
Glen Davis,6400000,27,34,33,1064,0.448,0,0.718,55,191,70,32,21,64,88,512,PF,58044000
Tobias Harris,1524480,20,27,20,974,0.453,0.31,0.721,56,174,56,24,37,48,89,467,PF,58044000
DeQuan Jones,473504,22,63,17,803,0.436,0.257,0.667,17,88,16,19,22,30,55,233,SF,58044000
Beno Udrih,7372000,30,27,9,738,0.408,0.396,0.857,17,46,164,25,1,55,51,275,PG,58044000
Kyle O'Quinn,788872,22,57,5,638,0.513,0,0.667,65,144,52,11,26,37,107,232,C,58044000
Gustavo Ayon,20807922,27,43,3,571,0.536,0,0.5,40,100,59,13,13,38,83,153,C,58044000
Doron Lamb,650000,21,24,0,297,0.397,0.476,0.632,5,24,12,6,0,10,25,76,SG,58044000
Hedo Turkoglu,11815850,33,11,1,189,0.264,0.042,0.5,4,22,23,7,1,12,11,32,SF,58044000
Al Harrington,6687400,32,10,0,119,0.351,0.267,0.75,6,21,10,4,1,7,18,51,C,58044000
Marc Gasol,13891359,28,80,80,2796,0.494,0.071,0.848,184,438,318,80,139,157,255,1127,C,58044000
Mike Conley,7305786,25,80,80,2757,0.44,0.362,0.83,43,182,487,174,24,189,171,1168,PG,58044000
Zach Randolph,16500000,31,76,75,2607,0.46,0.087,0.75,310,544,108,61,31,150,180,1169,PF,58044000
Tony Allen,3300000,31,79,79,2109,0.445,0.125,0.717,121,242,98,119,44,94,211,705,SG,58044000
Jerryd Bayless,3000000,24,80,4,1765,0.419,0.353,0.836,22,154,264,59,17,120,168,693,PG,58044000
Quincy Pondexter,1234320,24,59,1,1243,0.428,0.395,0.787,43,89,61,35,6,42,95,375,SF,58044000
Tayshaun Prince,6764045,32,37,36,1174,0.429,0.366,0.595,29,126,85,27,12,35,41,325,SF,58044000
Darrell Arthur,3006217,24,59,3,970,0.451,0.278,0.717,68,101,33,24,33,43,126,362,PF,58044000
Ed Davis,2207040,23,36,4,544,0.517,0,0.569,57,103,8,13,47,18,80,185,PF,58044000
Austin Daye,2958077,24,31,0,328,0.423,0.345,0.688,6,54,21,9,14,16,39,125,SF,58044000
Tony Wroten,1110120,19,35,0,272,0.384,0.25,0.724,13,15,43,8,4,29,34,91,SG,58044000
Chris Johnson,61290,22,8,0,102,0.44,0.333,0.5,5,6,2,4,0,3,5,29,SF,58044000
Jon Leuer,762195,23,19,0,96,0.625,0,0.571,8,16,3,4,0,3,10,34,PF,58044000
Dexter Pittman,854389,24,7,0,20,0.167,0,0,3,2,0,0,0,1,4,2,C,58044000
Greivis Vasquez,1191240,26,78,78,2685,0.433,0.342,0.805,43,294,704,66,6,247,190,1083,PG,58044000
Ryan Anderson,8700000,24,81,22,2503,0.423,0.382,0.844,191,328,97,42,31,97,179,1309,PF,58044000
Robin Lopez,4899293,24,82,82,2136,0.534,0,0.778,226,236,64,32,128,110,167,929,C,58044000
Al-Farouq Aminu,2947800,22,76,71,2066,0.475,0.211,0.737,139,446,103,92,51,116,153,555,SF,58044000
Anthony Davis,5144280,19,64,60,1846,0.516,0,0.751,165,357,63,75,112,89,158,867,PF,58044000
Austin Rivers,2238360,20,61,26,1418,0.372,0.326,0.546,16,93,127,26,9,74,122,377,SG,58044000
Brian Roberts,473604,27,78,5,1324,0.417,0.386,0.909,17,80,219,37,3,71,108,555,PG,58044000
Eric Gordon,13668750,24,42,40,1264,0.402,0.324,0.842,10,67,137,45,8,117,75,713,SG,58044000
Roger Mason,1223116,32,69,13,1219,0.433,0.415,0.907,11,121,74,26,11,51,104,369,SG,58044000
Jason Smith,2500000,26,51,0,876,0.49,0,0.843,64,122,34,15,45,55,123,420,C,58044000
Darius Miller,473604,22,52,2,694,0.407,0.393,1,8,70,44,17,12,23,89,118,SF,58044000
Lance Thomas,762195,24,59,9,646,0.5,0,0.729,44,71,17,11,7,14,78,149,SF,58044000
Xavier Henry,2323200,21,50,2,625,0.41,0.364,0.63,21,69,13,16,5,31,72,194,SF,58044000
Dominic McGuire,110947,27,9,0,145,0.429,0,0.5,7,21,9,8,3,5,13,19,SF,58044000
Donald Sloan,44835,25,3,0,6,0,0,0,0,0,1,0,0,1,0,0,PG,58044000
Goran Dragic,7500000,26,77,77,2581,0.443,0.319,0.748,60,178,569,124,26,212,214,1134,PG,58044000
Luis Scola,4148510,32,82,67,2184,0.472,0.188,0.787,158,383,182,67,35,126,257,1048,PF,58044000
Jared Dudley,4250000,27,79,50,2170,0.468,0.391,0.796,79,166,203,75,8,101,128,861,SF,58044000
P.J. Tucker,762195,27,79,45,1910,0.473,0.314,0.744,132,218,109,62,19,67,145,506,SG,58044000
Marcin Gortat,7258960,28,61,61,1876,0.521,0,0.652,128,388,75,40,98,99,127,680,C,58044000
Markieff Morris,2063040,23,82,32,1837,0.407,0.336,0.732,131,265,108,77,64,104,209,670,PF,58044000
Michael Beasley,5750000,24,75,20,1554,0.405,0.313,0.746,52,230,111,31,34,144,107,759,SF,58044000
Shannon Brown,3500000,27,59,22,1402,0.42,0.277,0.784,44,105,108,59,15,74,92,617,SG,58044000
Jermaine O'Neal,1352181,34,55,4,1029,0.482,0,0.835,82,211,42,19,78,73,126,454,C,58044000
Wesley Johnson,4285560,25,50,21,953,0.407,0.323,0.771,21,102,34,22,18,48,56,399,SF,58044000
Kendall Marshall,1919160,21,48,3,702,0.371,0.315,0.571,4,38,143,22,4,57,48,143,PG,58044000
Marcus Morris,1959960,23,23,6,370,0.405,0.308,0.405,17,41,15,18,4,24,40,131,PF,58044000
Hamed Haddadi,1300000,27,17,0,235,0.459,0,0.52,33,54,8,5,21,27,45,69,C,58044000
Diante Garrett,473604,24,19,0,149,0.327,0.2,0.5,5,10,31,10,0,16,5,40,PG,58044000
Luke Zeller,473604,25,16,0,58,0.346,0.2,0,1,9,3,0,0,0,5,19,C,58044000
DeMarcus Cousins,3880800,22,75,74,2289,0.465,0.182,0.738,222,524,199,108,55,225,269,1280,C,58044000
Jason Thompson,5250000,26,82,81,2285,0.502,0,0.694,172,377,84,48,61,101,227,891,PF,58044000
John Salmons,8083000,33,76,72,2278,0.399,0.371,0.773,33,174,226,51,25,85,143,672,SF,58044000
Isaiah Thomas,762195,23,79,62,2122,0.44,0.358,0.882,29,132,316,67,3,140,167,1100,PG,58044000
Tyreke Evans,5251825,23,65,61,2016,0.478,0.338,0.775,56,231,229,90,27,128,133,987,SG,58044000
Marcus Thornton,7525000,25,72,8,1726,0.429,0.372,0.881,50,131,91,61,4,68,105,916,SG,58044000
Chuck Hayes,5486250,29,74,1,1209,0.442,0,0.625,113,186,112,31,18,44,114,198,C,58044000
Jimmer Fredette,2406240,23,69,0,967,0.421,0.417,0.859,19,52,92,31,3,68,64,494,SG,58044000
Aaron Brooks,3250000,28,46,20,959,0.459,0.378,0.769,12,66,108,29,7,63,89,366,PG,58044000
James Johnson,2812006,25,54,11,878,0.413,0.095,0.597,49,96,58,41,50,68,99,276,SF,58044000
Patrick Patterson,2096760,23,24,3,556,0.494,0.444,0.786,40,76,30,13,13,19,48,193,PF,58044000
Travis Outlaw,3000000,28,38,2,444,0.418,0.28,0.731,17,44,21,11,8,19,35,200,SF,58044000
Toney Douglas,2067880,26,22,0,376,0.43,0.389,1,11,37,58,31,1,25,42,135,PG,58044000
Cole Aldrich,2445480,24,15,0,175,0.568,0,0.727,18,45,3,2,14,9,19,50,C,58044000
Danny Green,3500000,25,80,80,2201,0.448,0.429,0.848,36,208,141,92,54,94,124,838,SG,58044000
Tony Parker,12500000,30,66,66,2174,0.522,0.353,0.845,18,180,499,54,6,170,92,1341,PG,58044000
Tim Duncan,9638554,36,69,69,2078,0.502,0.286,0.817,124,562,184,50,183,147,117,1227,C,58044000
Tiago Splitter,3944000,28,81,58,1997,0.56,0,0.73,144,371,130,63,64,100,161,838,PF,58044000
Kawhi Leonard,1861920,21,58,57,1810,0.494,0.374,0.825,63,283,93,97,32,62,99,689,SF,58044000
Boris Diaw,4500000,30,75,20,1709,0.539,0.385,0.723,66,188,180,52,27,84,143,435,PF,58044000
Gary Neal,854389,28,68,17,1484,0.412,0.355,0.865,13,130,129,30,2,69,93,645,SG,58044000
Manu Ginobili,14107492,35,60,0,1393,0.425,0.353,0.796,30,171,274,80,13,132,114,705,SG,58044000
Stephen Jackson,10059750,34,55,6,1075,0.373,0.271,0.7,22,133,80,37,14,77,89,341,SF,58044000
Nando De Colo,1400000,25,72,6,920,0.436,0.378,0.795,23,115,138,41,6,81,87,276,SG,58044000
Matt Bonner,3630000,32,68,4,909,0.487,0.442,0.733,25,104,36,17,19,16,86,288,PF,58044000
DeJuan Blair,1054000,23,61,16,851,0.524,0,0.629,66,164,45,37,10,49,112,328,PF,58044000
Patrick Mills,1085120,24,58,2,656,0.469,0.4,0.842,9,41,62,26,4,39,55,294,PG,58044000
Cory Joseph,1105560,21,28,9,388,0.464,0.286,0.857,12,40,53,15,4,21,25,126,PG,58044000
Aron Baynes,401170,26,16,0,141,0.5,0,0.583,12,20,5,1,6,11,23,43,C,58044000
James Anderson,145749,23,10,0,94,0.44,0.455,0.778,3,11,9,3,2,7,7,34,SF,58044000
Martell Webster,1600000,26,76,62,2200,0.442,0.422,0.848,53,241,143,49,17,90,166,869,SF,58044000
Emeka Okafor,13490000,30,79,77,2052,0.477,0,0.571,199,493,93,45,77,107,145,765,C,58044000
Bradley Beal,4133280,19,56,46,1745,0.41,0.386,0.786,43,168,137,50,29,90,113,780,SG,58044000
Kevin Seraphin,1797600,23,79,8,1721,0.461,0,0.693,107,239,57,24,59,130,211,721,C,58044000
Nene Hilario,13000000,30,61,49,1659,0.48,0,0.729,101,306,177,55,37,139,171,766,PF,58044000
John Wall,5915880,22,49,42,1602,0.441,0.267,0.804,35,161,373,65,37,157,117,906,PG,58044000
Trevor Ariza,7258960,27,56,15,1471,0.417,0.364,0.821,44,222,113,72,20,84,72,530,SF,58044000
A.J. Price,885120,26,57,22,1278,0.39,0.35,0.79,20,94,205,33,3,64,73,441,PG,58044000
Garrett Temple,572943,26,51,36,1156,0.407,0.325,0.703,29,94,115,50,17,61,94,262,SG,58044000
Chris Singleton,1596360,23,57,11,924,0.382,0.194,0.571,51,133,37,38,24,45,124,231,PF,58044000
Trevor Booker,1385280,25,48,14,887,0.491,0,0.556,98,141,40,32,16,31,95,256,PF,58044000
Cartier Martin,915852,28,41,3,694,0.381,0.397,0.714,11,89,20,19,6,32,58,270,SF,58044000
Jan Vesely,3294960,22,51,4,601,0.5,0,0.308,43,79,28,15,17,27,107,126,PF,58044000
Shaun Livingston,256240,27,17,4,320,0.364,0,1,2,35,38,11,2,17,22,63,PF,58044000
Shelvin Mack,67253,22,7,2,141,0.4,0.308,0.5,3,13,23,6,0,8,10,37,PG,58044000
Earl Barron,358600,31,11,1,122,0.351,0,0.4,16,27,3,5,5,10,23,28,PG,58044000
Jannero Pargo,115122,33,7,0,102,0.25,0.15,1,0,6,14,0,1,8,8,21,PG,58044000
Jason Collins,1352181,34,6,2,54,0.167,0,1,1,7,2,2,4,2,11,4,C,58044000
Kemba Walker,2532960,22,82,82,2859,0.423,0.322,0.798,60,223,471,160,31,200,153,1455,PG,58044000
Bismack Biyombo,3007920,20,80,65,2186,0.451,0,0.521,194,388,35,28,143,82,195,386,C,58044000
Gerald Henderson,3101327,25,68,58,2133,0.447,0.33,0.824,55,195,177,68,34,108,149,1055,SG,58044000
Michael Kidd-Gilchrist,4602720,19,78,77,2025,0.458,0.222,0.749,131,324,117,54,70,101,164,704,SF,58044000
Ramon Sessions,5000000,26,61,0,1652,0.408,0.308,0.839,27,142,230,48,7,104,91,876,SG,58044000
Ben Gordon,12400000,29,75,0,1560,0.408,0.387,0.843,18,112,141,35,16,136,134,840,SG,58044000
Byron Mullens,2253306,23,53,41,1428,0.385,0.317,0.646,71,266,81,34,32,74,110,564,PF,58044000
Brendan Haywood,2050000,33,61,17,1162,0.431,0,0.455,125,165,29,16,49,50,125,216,C,58044000
Josh McRoberts,3135000,25,26,19,802,0.505,0.241,0.782,52,136,71,22,15,38,66,242,PF,58044000
Jeff Adrien,804131,26,52,5,713,0.429,0,0.65,68,128,36,18,27,32,80,209,PF,58044000
Reggie Williams,2612500,26,40,0,380,0.432,0.306,0.476,8,43,39,12,1,19,19,146,SF,58044000
Tyrus Thomas,8000000,26,26,2,360,0.353,0.375,0.839,16,44,19,14,15,17,51,125,PF,58044000
DeSagana Diop,7372200,31,22,1,226,0.296,0,0,10,41,13,5,16,8,19,16,C,58044000
Cory Higgins,44835,23,6,0,32,0.316,0.2,0.5,1,2,5,3,0,0,5,14,SG,58044000
Al Horford,12000000,26,74,74,2756,0.543,0.5,0.644,195,562,240,78,78,147,163,1289,C,58044000
Josh Smith,13200000,27,76,76,2683,0.465,0.303,0.517,133,506,321,94,136,226,175,1327,PF,58044000
Jeff Teague,2433077,24,80,78,2628,0.451,0.359,0.881,25,155,579,117,28,230,181,1166,PG,58044000
Kyle Korver,5000000,31,74,60,2259,0.461,0.457,0.859,23,270,146,70,37,70,170,810,SF,58044000
