Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Festus Ezeli,2008748,26,46,13,770,0.548,0,0.53,91,166,32,18,50,38,94,320,C,70000000
Ian Clark,947276,24,66,1,578,0.441,0.357,0.824,13,55,64,17,13,43,58,236,SG,70000000
James Michael McAdoo,845059,23,41,1,262,0.536,0.5,0.531,30,28,17,10,8,16,39,117,PF,70000000
Anderson Varejao,458575,33,22,0,186,0.438,0,0.552,13,37,15,5,5,6,35,58,C,70000000
Jason Thompson,6431250,29,28,1,179,0.476,0,0.625,10,44,19,4,8,7,40,60,C,70000000
Kevon Looney,1131960,19,5,0,21,0.571,0.5,0,4,6,0,0,0,1,2,9,PF,70000000
James Harden,15756438,26,82,82,3125,0.439,0.359,0.86,63,438,612,139,51,374,229,2376,SG,70000000
Trevor Ariza,8193030,30,81,81,2859,0.416,0.371,0.783,67,299,188,160,26,113,177,1025,SF,70000000
Dwight Howard,22359364,30,71,71,2280,0.62,0,0.489,238,597,98,69,113,166,219,976,C,70000000
Patrick Beverley,6500000,27,71,63,2041,0.434,0.4,0.682,73,177,239,94,26,91,234,700,PG,70000000
Corey Brewer,8200000,29,82,12,1669,0.384,0.272,0.75,42,157,109,84,19,78,168,590,SF,70000000
Clint Capela,1242720,21,77,35,1471,0.582,0,0.379,194,300,47,59,92,60,190,542,C,70000000
Jason Terry,1499187,38,72,7,1258,0.402,0.356,0.818,14,65,103,47,9,49,91,422,SG,70000000
Ty Lawson,12404495,28,53,12,1176,0.387,0.33,0.7,20,69,180,43,6,82,71,309,PG,70000000
Terrence Jones,2489530,24,50,11,1044,0.452,0.316,0.664,62,149,41,23,39,49,86,434,PF,70000000
Marcus Thornton,1186000,28,47,6,885,0.4,0.338,0.879,31,84,66,34,3,40,73,472,SG,70000000
Donatas Motiejunas,2288205,25,37,22,547,0.439,0.281,0.642,37,72,41,17,5,44,69,230,PF,70000000
Josh Smith,1499000,30,23,6,421,0.343,0.271,0.48,18,49,48,16,13,36,56,151,PF,70000000
Montrezl Harrell,1000000,22,39,1,379,0.644,0,0.522,25,40,17,11,11,17,48,140,PF,70000000
Michael Beasley,306527,27,20,0,363,0.522,0.333,0.776,29,69,16,11,9,24,39,255,SF,70000000
K.J. McDaniels,3333333,22,37,1,235,0.403,0.28,0.8,16,26,10,7,6,17,30,89,SF,70000000
Andrew Goudelock,200600,27,8,0,50,0.45,0.111,0.75,1,1,4,6,2,7,4,22,PG,70000000
Chuck Hayes,83583,32,2,0,24,0.5,0,1,0,8,2,0,0,3,6,4,C,70000000
Sam Dekker,1646400,21,3,0,6,0,0,0,0,1,0,1,0,0,0,0,SF,70000000
DeAndre Jordan,18907725,27,77,77,2598,0.703,0,0.43,267,792,90,51,177,107,207,980,C,70000000
Chris Paul,21468696,30,74,74,2420,0.462,0.371,0.896,39,271,738,152,13,194,185,1446,PG,70000000
Jamal Crawford,5675000,35,79,5,2126,0.404,0.34,0.904,20,125,183,52,12,113,122,1120,SG,70000000
J.J. Redick,6867000,31,75,75,2097,0.48,0.475,0.888,10,129,106,42,5,78,135,1226,SG,70000000
Wesley Johnson,1100600,28,80,9,1666,0.404,0.333,0.652,37,211,49,89,56,54,173,549,SF,70000000
Austin Rivers,3100000,23,67,7,1464,0.438,0.335,0.681,22,108,99,48,9,61,137,593,SG,70000000
Luc Mbah a Moute,1270964,29,75,61,1274,0.454,0.325,0.526,60,111,30,44,19,34,100,231,PF,70000000
Paul Pierce,3400000,38,68,38,1231,0.363,0.31,0.818,12,174,71,33,17,58,129,417,SF,70000000
Blake Griffin,18907725,26,35,35,1170,0.499,0.333,0.727,51,243,170,28,17,83,95,749,PF,70000000
Pablo Prigioni,981348,38,59,3,823,0.374,0.295,0.875,38,76,130,53,1,49,82,145,PG,70000000
Cole Aldrich,1100600,27,60,5,800,0.596,0,0.714,86,202,50,47,68,64,139,328,C,70000000
Jeff Green,9200000,29,27,10,709,0.427,0.325,0.615,19,72,40,18,21,24,62,293,SF,70000000
C.J. Wilcox,1159680,25,23,0,167,0.394,0.391,0.75,1,11,10,10,2,2,15,70,SG,70000000
Jeff Ayres,187750,28,17,0,107,0.522,0,1,4,18,5,0,3,6,18,30,C,70000000
Branden Dawson,525093,22,6,0,29,0.4,0,1,2,2,0,0,1,0,2,5,PF,70000000
Alex Stepheson,61776,28,4,0,12,1,0,0,1,1,0,0,2,0,4,2,PF,70000000
Jordan Clarkson,845059,23,79,79,2552,0.433,0.347,0.804,93,220,192,88,7,135,168,1225,SG,70000000
Julius Randle,3132240,21,81,60,2286,0.429,0.278,0.715,172,657,144,53,29,149,242,919,PF,70000000
D'Angelo Russell,5103120,19,80,48,2259,0.41,0.351,0.737,47,227,266,93,13,196,142,1054,PG,70000000
Lou Williams,7000000,29,67,35,1907,0.408,0.344,0.83,31,138,167,62,19,107,107,1028,SG,70000000
Roy Hibbert,15500000,29,81,81,1878,0.443,0,0.807,132,266,95,32,110,76,252,481,C,70000000
Kobe Bryant,25000000,37,66,66,1863,0.358,0.285,0.826,41,206,184,62,13,129,115,1161,SF,70000000
Brandon Bass,3000000,30,66,0,1342,0.549,0,0.845,104,181,74,33,55,42,125,473,PF,70000000
Larry Nance Jr.,1155600,23,63,22,1266,0.527,0.1,0.681,101,211,44,54,23,41,124,349,PF,70000000
Nick Young,5219169,30,54,2,1033,0.339,0.325,0.829,14,83,34,23,7,30,50,392,SG,70000000
Marcelo Huertas,525093,32,53,0,869,0.422,0.262,0.931,18,72,182,26,7,80,76,237,PG,70000000
Anthony Brown,700000,23,29,11,599,0.31,0.286,0.85,9,61,19,14,5,15,34,115,SF,70000000
Metta World Peace,1499187,36,35,5,590,0.311,0.31,0.702,19,70,27,22,11,15,67,176,SF,70000000
Tarik Black,845059,24,39,0,496,0.548,0,0.422,44,113,16,14,18,22,78,133,C,70000000
Ryan Kelly,1724250,24,36,0,470,0.369,0.135,0.685,21,100,20,13,10,18,39,152,PF,70000000
Robert Sacre,981348,26,25,1,320,0.413,0,0.658,32,40,14,4,10,12,43,87,C,70000000
Andrew Wiggins,5758680,20,81,81,2845,0.459,0.3,0.761,107,186,164,78,46,182,165,1675,SG,70000000
Karl-Anthony Towns,5703600,20,82,82,2626,0.543,0.341,0.811,226,629,161,58,138,183,245,1503,C,70000000
Ricky Rubio,12365000,25,76,76,2323,0.374,0.326,0.847,40,286,658,162,10,193,201,766,PG,70000000
Zach LaVine,2148360,20,82,33,2294,0.452,0.389,0.793,27,201,251,69,17,155,193,1150,SG,70000000
Gorgui Dieng,1474440,26,82,39,2220,0.532,0.3,0.827,157,428,143,94,96,140,219,827,C,70000000
Shabazz Muhammad,2056920,23,82,0,1682,0.465,0.289,0.764,100,167,52,24,7,70,94,863,SF,70000000
Tayshaun Prince,1499187,35,77,44,1462,0.445,0.174,0.684,32,115,73,36,13,27,62,221,SF,70000000
Nemanja Bjelica,4000000,27,60,0,1075,0.468,0.384,0.727,49,161,83,26,21,47,154,308,PF,70000000
Kevin Martin,7085000,32,39,12,834,0.377,0.369,0.88,10,71,46,17,1,41,68,415,SG,70000000
Tyus Jones,1282080,19,37,0,573,0.359,0.302,0.718,7,40,108,31,3,33,33,156,PG,70000000
Kevin Garnett,8500000,39,38,38,556,0.47,0,0.667,15,135,62,28,10,16,70,122,PF,70000000
Adreian Payne,1938840,24,52,2,486,0.363,0.281,0.654,21,91,29,16,11,36,77,132,PF,70000000
Andre Miller,1499187,39,26,0,280,0.621,0.25,0.789,6,18,58,9,0,25,32,88,PG,70000000
Damjan Rudez,1149500,29,33,0,277,0.403,0.34,1,5,15,11,3,1,13,33,75,SF,70000000
Greg Smith,128161,25,18,0,192,0.563,0,0.412,12,30,6,4,1,7,28,43,PF,70000000
Nikola Pekovic,12100000,30,12,3,156,0.38,0,0.8,7,14,11,1,0,9,22,54,C,70000000
Gary Harris,1587480,21,76,76,2439,0.469,0.354,0.82,54,166,147,97,18,98,143,932,SG,70000000
Will Barton,1450000,25,82,1,2353,0.432,0.345,0.806,59,417,203,71,39,139,147,1178,SG,70000000
Emmanuel Mudiay,3102240,19,68,66,2068,0.364,0.319,0.67,32,200,372,65,35,217,141,872,PG,70000000
Danilo Gallinari,14000000,27,53,53,1839,0.41,0.364,0.868,51,230,135,42,19,77,87,1036,SF,70000000
Nikola Jokic,1300000,20,80,55,1733,0.512,0.333,0.811,181,379,189,79,50,104,208,796,C,70000000
Kenneth Faried,11235955,26,67,64,1694,0.558,0.5,0.613,235,346,79,32,60,91,169,835,PF,70000000
Darrell Arthur,2814000,27,70,16,1516,0.452,0.385,0.755,86,207,96,53,48,66,185,527,PF,70000000
Joffrey Lauvergne,1709720,24,59,15,1041,0.513,0.245,0.899,77,213,56,13,15,54,115,465,C,70000000
Jameer Nelson,4500000,33,39,15,1036,0.368,0.299,0.857,19,96,190,25,5,66,100,299,PG,70000000
D.J. Augustin,3000000,28,28,0,659,0.445,0.411,0.819,3,49,132,25,2,54,44,325,PG,70000000
Jusuf Nurkic,1842000,21,32,3,547,0.417,0,0.616,65,110,40,24,44,55,91,263,C,70000000
JaKarr Sampson,285489,22,26,22,469,0.47,0.276,0.72,16,45,16,12,17,19,51,134,SF,70000000
Mike Miller,1499187,35,46,2,373,0.355,0.365,0,6,47,40,13,4,17,53,63,SF,70000000
Axel Toupane,61776,23,21,0,305,0.357,0.325,0.765,8,23,15,7,6,6,40,76,SF,70000000
J.J. Hickson,5613500,27,20,9,305,0.505,0,0.458,22,65,16,10,12,16,35,137,C,70000000
C.J. McCollum,2525160,24,80,80,2780,0.448,0.417,0.827,47,212,341,97,23,196,187,1666,SG,70000000
Damian Lillard,4236287,25,75,75,2676,0.419,0.375,0.892,45,257,512,65,28,242,165,1879,PG,70000000
Al-Farouq Aminu,7500000,25,82,82,2341,0.416,0.361,0.737,98,401,138,72,53,120,171,839,SF,70000000
Allen Crabbe,947276,23,81,8,2105,0.459,0.393,0.867,27,189,99,63,16,64,192,832,SG,70000000
Mason Plumlee,1415520,25,82,82,2084,0.516,0,0.642,201,427,226,68,85,154,253,749,C,70000000
Ed Davis,7000000,26,81,0,1684,0.611,0,0.559,224,375,88,57,72,64,202,526,PF,70000000
Maurice Harkless,2894059,22,78,14,1457,0.474,0.279,0.622,101,179,67,49,35,62,124,498,SF,70000000
Gerald Henderson,6000000,28,72,0,1431,0.439,0.353,0.767,30,181,75,39,19,68,87,624,SG,70000000
Meyers Leonard,3075880,23,61,10,1333,0.448,0.377,0.761,51,263,92,8,18,77,183,511,PF,70000000
Noah Vonleh,2637720,20,78,56,1174,0.421,0.239,0.745,91,214,30,27,26,50,152,283,PF,70000000
Tim Frazier,845059,25,35,1,272,0.333,0.176,0.533,11,28,42,10,1,27,31,51,PG,70000000
Pat Connaughton,525093,23,34,0,143,0.265,0.238,1,11,21,10,2,0,10,6,36,SG,70000000
Brian Roberts,2854940,30,21,0,137,0.46,0.4,0.8,2,10,16,3,1,7,12,60,PG,70000000
Chris Kaman,5000000,33,16,2,112,0.465,0.25,1,7,17,11,1,1,8,15,44,C,70000000
Luis Montero,525093,22,12,0,42,0.263,0.111,0.75,0,4,1,0,0,4,1,14,SG,70000000
Cliff Alexander,525093,20,8,0,36,0.5,0,0,2,4,0,1,2,1,1,10,PF,70000000
Russell Westbrook,16744218,27,80,80,2749,0.454,0.296,0.812,145,481,834,163,20,342,200,1878,PG,70000000
Kevin Durant,20158622,27,72,72,2578,0.505,0.388,0.898,45,544,361,69,85,250,137,2029,SF,70000000
Serge Ibaka,12250000,26,78,78,2500,0.479,0.326,0.752,141,392,66,38,148,108,211,983,PF,70000000
Dion Waiters,5138430,24,78,15,2152,0.399,0.357,0.713,36,166,154,81,15,120,143,762,SG,70000000
Steven Adams,2279040,22,80,80,2014,0.613,0,0.582,219,314,62,42,89,84,223,636,C,70000000
Enes Kanter,16400000,23,82,1,1721,0.576,0.476,0.797,249,415,33,26,33,115,166,1038,C,70000000
Andre Roberson,1210800,24,70,70,1553,0.496,0.311,0.611,79,172,47,53,42,35,133,337,SG,70000000
Kyle Singler,5000000,27,68,2,977,0.389,0.309,0.659,50,91,24,30,9,32,120,231,SF,70000000
Anthony Morrow,3344000,30,68,6,926,0.408,0.387,0.744,10,52,24,22,5,17,64,380,SG,70000000
Nick Collison,3750000,35,59,4,699,0.459,0,0.697,68,103,52,15,16,50,107,123,PF,70000000
Cameron Payne,2021520,21,57,1,698,0.41,0.324,0.792,9,76,108,36,6,44,80,283,PG,70000000
Randy Foye,3270000,32,27,1,572,0.349,0.309,0.815,8,43,49,13,13,28,48,151,SG,70000000
Mitch McGary,1463040,23,20,0,72,0.478,0,0.4,4,14,3,1,2,7,10,26,PF,70000000
Josh Huestis,1140240,24,5,0,55,0.417,0.667,0,2,8,0,1,2,3,3,14,PF,70000000
Nazr Mohammed,352750,38,5,0,19,0.6,0,1,1,3,0,0,0,3,4,8,C,70000000
Evan Fournier,2288205,23,79,71,2566,0.462,0.4,0.836,33,192,213,96,2,133,214,1213,SF,70000000
Victor Oladipo,5192520,23,72,52,2379,0.438,0.348,0.83,48,297,282,116,54,153,174,1153,SG,70000000
Elfrid Payton,2505720,21,73,69,2145,0.436,0.326,0.589,77,184,468,89,20,177,159,778,PG,70000000
Nikola Vucevic,11250000,25,65,60,2037,0.51,0.222,0.753,173,402,179,53,70,123,173,1181,C,70000000
Aaron Gordon,4171680,20,78,37,1863,0.473,0.296,0.668,154,353,128,59,55,66,153,719,PF,70000000
Mario Hezonja,3741480,20,79,9,1413,0.433,0.349,0.907,28,148,109,39,17,97,124,478,SF,70000000
Jason Smith,4300000,29,76,2,1181,0.485,0.25,0.806,53,166,62,33,65,57,163,546,C,70000000
Andrew Nicholson,2380594,26,56,0,823,0.471,0.36,0.785,34,167,25,10,22,41,69,384,PF,70000000
Dewayne Dedmon,947278,26,58,20,705,0.559,0,0.75,67,161,13,22,46,32,109,255,C,70000000
C.J. Watson,5000000,31,33,2,656,0.343,0.292,0.872,10,56,88,19,5,25,49,142,PG,70000000
Shabazz Napier,1294440,24,55,0,600,0.338,0.327,0.733,9,46,97,23,1,46,38,203,PG,70000000
Brandon Jennings,8344497,26,25,6,452,0.366,0.346,0.75,11,39,100,18,5,35,33,175,PG,70000000
Ersan Ilyasova,7900000,28,22,4,447,0.418,0.409,0.711,45,76,12,14,6,12,51,178,PF,70000000
Devyn Marble,845059,23,28,0,249,0.296,0.25,0.417,6,32,12,13,1,7,25,60,SG,70000000
Keith Appling,100000,23,5,0,27,0.25,0,1,0,1,1,1,0,3,5,6,PG,70000000
Matt Barnes,3542500,35,76,45,2190,0.381,0.322,0.804,84,336,163,78,57,121,234,758,SF,70000000
Zach Randolph,9638555,34,68,53,2016,0.475,0.231,0.796,179,350,142,43,13,105,146,1040,PF,70000000
Marc Gasol,19700000,31,52,52,1791,0.464,0.667,0.829,58,304,196,50,70,118,141,861,C,70000000
Mike Conley,9388426,28,56,56,1760,0.422,0.363,0.834,26,138,342,67,16,84,100,857,PG,70000000
Tony Allen,5168539,34,64,57,1620,0.458,0.357,0.652,104,192,70,110,18,78,175,535,SG,70000000
JaMychal Green,845059,25,78,15,1446,0.465,0.333,0.752,139,234,67,46,33,83,189,578,PF,70000000
Mario Chalmers,4300000,29,55,7,1253,0.417,0.326,0.827,23,120,211,80,12,102,165,595,PG,70000000
Vince Carter,4088091,39,60,3,1005,0.388,0.349,0.833,31,115,56,38,16,35,101,395,SG,70000000
Lance Stephenson,9000000,25,26,3,692,0.474,0.355,0.815,21,94,73,19,6,46,56,369,SF,70000000
Ryan Hollins,336716,31,32,9,412,0.625,0,0.619,40,47,10,6,20,21,58,116,C,70000000
Jarell Martin,1230840,21,27,0,380,0.466,0,0.726,39,47,15,8,7,19,58,153,PF,70000000
P.J. Hairston,1201440,23,18,9,375,0.348,0.232,0.727,7,39,9,8,4,17,31,124,SF,70000000
Chris Andersen,5000000,37,20,14,366,0.548,0.222,0.688,33,56,9,14,10,7,25,92,C,70000000
Jordan Farmar,111683,29,12,10,291,0.42,0.356,1,4,21,37,15,2,18,22,110,PG,70000000
Xavier Munford,61776,23,14,0,244,0.416,0.391,0.5,3,28,22,13,3,15,25,80,SG,70000000
Ray McCallum,111444,24,10,3,219,0.354,0.385,0.6,2,14,27,7,3,13,15,69,PG,70000000
Brandan Wright,5500000,28,12,2,212,0.673,0,0.542,14,29,6,5,15,10,21,83,PF,70000000
Briante Weber,30888,23,6,4,166,0.342,0,0.75,8,16,20,9,3,9,11,29,PG,70000000
Russ Smith,845059,24,15,0,66,0.318,0.2,0.615,1,8,11,5,1,7,5,23,PG,70000000
Alex Stepheson,30888,28,4,0,61,0.308,0,0.4,18,8,2,1,3,0,8,20,SF,70000000
Elliot Williams,55722,26,5,0,45,0.2,0.25,0.75,1,3,4,0,0,1,2,8,SG,70000000
James Ennis,845059,25,10,0,40,0.308,0.25,0.6,4,3,2,4,2,2,1,16,SF,70000000
Jordan Adams,1404600,21,2,0,15,0.333,0,0.6,0,2,3,3,0,2,2,7,SG,70000000
Bryce Cotton,14913,23,5,0,6,1,0,0,0,0,0,0,0,0,0,4,PG,70000000
Anthony Davis,7070730,22,61,61,2164,0.493,0.324,0.758,130,497,116,78,125,121,148,1481,PG,70000000
Ryan Anderson,8500000,27,66,7,2008,0.427,0.366,0.873,131,265,73,38,25,90,109,1124,PF,70000000
Dante Cunningham,8500000,28,80,46,1971,0.451,0.316,0.695,57,179,77,42,33,41,173,484,SF,70000000
Jrue Holiday,10595507,25,65,23,1831,0.439,0.336,0.843,27,168,391,88,22,167,148,1089,PG,70000000
Alonzo Gee,1375000,28,73,38,1632,0.518,0.283,0.667,60,185,72,63,13,55,169,325,SF,70000000
Eric Gordon,15514031,27,45,44,1481,0.418,0.384,0.888,10,89,121,43,14,73,98,686,SG,70000000
Toney Douglas,1164858,29,61,18,1262,0.411,0.399,0.848,25,118,157,70,5,64,131,531,PG,70000000
Norris Cole,3036927,27,45,23,1198,0.405,0.324,0.8,10,141,167,37,5,75,102,477,PG,70000000
Omer Asik,11000000,29,68,64,1178,0.533,0,0.545,120,294,26,21,23,60,124,269,C,70000000
Alexis Ajinca,4300000,27,59,17,861,0.476,0,0.839,75,194,31,19,36,54,134,352,C,70000000
Luke Babbitt,1100000,26,47,13,845,0.422,0.404,0.78,25,123,53,11,7,23,90,327,SF,70000000
Tyreke Evans,11227000,26,25,25,765,0.433,0.388,0.796,20,109,164,32,8,73,66,379,SG,70000000
Kendrick Perkins,1499200,31,37,5,542,0.533,0,0.44,25,103,31,11,11,41,64,91,C,70000000
Tim Frazier,49709,25,16,1,469,0.45,0.419,0.763,15,56,120,23,1,38,42,210,PG,70000000
Jordan Hamilton,59731,25,11,4,304,0.422,0.289,0.667,12,50,25,8,3,17,24,125,SF,70000000
James Ennis,49709,25,9,5,282,0.5,0.48,0.792,17,18,18,12,3,17,26,143,SF,70000000
Bryce Dejean-Jones,61776,23,14,11,279,0.406,0.375,0.524,8,40,15,10,2,11,17,79,SG,70000000
Orlando Johnson,55722,26,5,1,54,0.235,0.2,0.5,1,5,2,1,0,3,4,10,SG,70000000
Nate Robinson,44000,31,2,1,23,0,0,0,0,0,4,1,0,0,5,0,PG,70000000
Jimmer Fredette,54812,26,4,0,13,0.25,0,0,0,0,1,1,0,1,1,2,SG,70000000
P.J. Tucker,5500000,30,82,80,2540,0.411,0.33,0.746,165,347,177,106,20,111,202,652,SF,70000000
Devin Booker,2127840,19,76,51,2108,0.423,0.343,0.84,27,160,200,44,20,160,225,1048,SG,70000000
Brandon Knight,12000000,24,52,50,1870,0.415,0.342,0.852,36,166,263,61,20,177,124,1018,SG,70000000
Alex Len,3807120,22,78,46,1821,0.423,0.143,0.728,178,416,97,38,62,145,230,703,C,70000000
Mirza Teletovic,5500000,30,79,1,1685,0.427,0.393,0.774,55,247,89,32,21,84,159,965,PF,70000000
Tyson Chandler,13000000,33,66,60,1618,0.583,0,0.62,175,401,64,36,44,93,145,472,C,70000000
Jon Leuer,1035000,26,67,27,1255,0.481,0.382,0.762,76,297,72,38,30,75,125,567,PF,70000000
Ronnie Price,1499187,32,62,18,1211,0.384,0.347,0.756,25,74,147,74,13,70,161,331,PG,70000000
Archie Goodwin,1160160,21,57,13,1114,0.418,0.235,0.674,27,115,118,27,13,100,84,505,PG,70000000
T.J. Warren,2041080,22,47,4,1070,0.501,0.4,0.703,57,90,44,37,16,32,94,515,SF,70000000
Eric Bledsoe,13086957,26,31,31,1059,0.453,0.372,0.802,18,107,190,63,19,110,75,632,PG,70000000
John Jenkins,981000,24,22,2,287,0.467,0.406,0.8,4,31,26,5,1,16,11,109,SG,70000000
Chase Budinger,258082,27,17,0,200,0.511,0.235,0.625,12,17,15,3,1,13,16,55,SF,70000000
Phil Pressey,111444,24,9,0,113,0.391,0,0.571,3,5,29,7,3,14,14,22,PG,70000000
Jordan McRae,61776,24,7,0,82,0.423,0.273,0.8,2,6,10,3,0,6,7,37,PG,70000000
Alan Williams,83397,23,10,0,68,0.417,0,0.643,14,24,5,4,5,6,15,29,PF,70000000
Lorenzo Brown,111444,25,8,0,61,0.32,0.125,0.75,0,7,11,3,1,9,4,20,PG,70000000
Cory Jefferson,370000,25,8,0,50,0.409,0,0.667,6,10,0,0,1,0,8,22,PF,70000000
Orlando Johnson,55722,26,2,0,47,0.278,0.2,0.833,3,6,0,2,3,1,5,16,SG,70000000
Bryce Cotton,228663,23,3,0,33,0.25,0,0,0,0,3,3,0,5,2,4,PG,70000000
Rajon Rondo,9500000,29,72,72,2537,0.454,0.365,0.58,77,358,839,141,10,278,175,859,PG,70000000
Rudy Gay,12403101,29,70,70,2379,0.463,0.344,0.78,103,353,120,100,51,139,184,1204,SF,70000000
DeMarcus Cousins,14728844,25,65,65,2246,0.451,0.333,0.718,158,589,214,101,92,249,236,1748,C,70000000
Darren Collison,5013559,28,74,15,2219,0.486,0.401,0.858,28,141,318,76,4,130,142,1035,PG,70000000
Omri Casspi,3000000,27,69,21,1880,0.481,0.409,0.648,58,352,95,56,17,94,154,813,SF,70000000
Marco Belinelli,6333333,29,68,7,1672,0.386,0.306,0.833,10,107,127,37,2,80,91,696,SG,70000000
Kosta Koufos,7500000,26,78,14,1482,0.532,0,0.548,169,254,33,40,70,48,185,529,C,70000000
Ben McLemore,3156600,22,68,53,1443,0.429,0.362,0.718,34,114,79,52,10,99,140,531,PF,70000000
Willie Cauley-Stein,3398280,22,66,39,1412,0.563,0,0.648,134,218,37,48,66,46,146,463,C,70000000
Quincy Acy,981348,25,59,29,876,0.556,0.388,0.735,65,123,27,29,24,27,103,307,PF,70000000
James Anderson,1015421,26,51,15,721,0.376,0.267,0.759,13,73,41,21,14,42,54,179,SG,70000000
Seth Curry,947276,25,44,9,692,0.455,0.45,0.833,9,51,67,22,3,36,41,299,PG,70000000
Caron Butler,1499187,35,17,1,176,0.424,0.167,0.833,5,17,10,9,1,3,19,63,SF,70000000
Eric Moreland,845059,24,8,0,48,0.5,0,0.5,3,8,1,0,4,3,4,8,PF,70000000
Duje Dukan,525093,24,1,0,24,0.2,0.4,0,2,2,1,1,0,0,2,6,SF,70000000
Kawhi Leonard,16500000,24,72,72,2380,0.506,0.443,0.874,95,398,186,128,71,105,133,1523,SF,70000000
LaMarcus Aldridge,19500000,30,74,74,2261,0.513,0,0.858,176,456,110,38,81,99,151,1331,PF,70000000
Danny Green,10000000,28,79,79,2061,0.376,0.332,0.739,48,255,141,79,64,75,141,572,SG,70000000
Tony Parker,13437500,33,72,72,1980,0.493,0.415,0.76,17,159,379,54,11,131,114,857,PG,70000000
Patrick Mills,3578947,27,81,3,1662,0.425,0.384,0.81,27,131,226,59,6,76,102,690,PG,70000000
Tim Duncan,5000000,39,61,60,1536,0.488,0,0.702,115,332,163,47,78,90,125,522,C,70000000
David West,1499000,35,78,19,1404,0.545,0.429,0.788,72,237,143,44,55,68,142,554,PF,70000000
Boris Diaw,7000000,33,76,4,1386,0.527,0.362,0.737,58,175,176,26,21,97,102,485,PF,70000000
Kyle Anderson,1142879,22,78,11,1245,0.468,0.324,0.747,25,219,123,60,29,59,97,350,SF,70000000
Manu Ginobili,2814000,38,58,0,1134,0.453,0.391,0.813,26,120,177,66,11,99,99,555,SG,70000000
Jonathon Simmons,525093,26,55,2,813,0.504,0.383,0.75,16,80,58,24,5,53,103,331,SG,70000000
Boban Marjanovic,1200000,27,54,4,508,0.603,0,0.763,73,121,21,12,23,29,54,297,C,70000000
Rasual Butler,1499187,36,46,0,432,0.471,0.306,0.688,3,53,24,13,23,8,11,124,SF,70000000
Kevin Martin,317475,32,16,1,261,0.353,0.333,0.933,4,25,12,9,2,13,15,99,SG,70000000
Ray McCallum,947276,24,31,3,256,0.403,0.313,0.9,6,25,33,5,4,11,14,68,PG,70000000
