Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Wesley Matthews,16407500,29,78,78,2644,0.388,0.36,0.863,27,211,151,78,17,78,179,977,SG,70000000
Dirk Nowitzki,8333334,37,75,75,2364,0.448,0.368,0.893,52,437,132,52,52,84,161,1372,PF,70000000
Raymond Felton,3950313,31,80,31,2192,0.406,0.282,0.847,36,222,284,68,15,121,141,763,PG,70000000
Deron Williams,5378974,31,65,63,2106,0.414,0.344,0.869,19,171,378,61,14,150,155,918,PG,70000000
Zaza Pachulia,5200000,31,76,69,2004,0.466,0,0.768,249,469,128,64,22,119,181,650,C,70000000
Chandler Parsons,15361500,27,61,51,1799,0.492,0.416,0.684,29,256,169,46,21,95,114,837,SF,70000000
J.J. Barea,4290000,31,74,16,1667,0.446,0.385,0.771,26,126,302,26,2,113,110,808,PG,70000000
Devin Harris,4053446,32,64,0,1280,0.447,0.329,0.721,18,120,118,60,13,66,124,487,PG,70000000
Dwight Powell,845059,24,69,2,992,0.493,0.125,0.739,84,189,44,36,24,40,118,399,PF,70000000
Charlie Villanueva,947276,31,62,4,665,0.382,0.273,0.917,24,128,24,18,15,31,71,319,PF,70000000
Justin Anderson,1449000,22,55,9,647,0.406,0.265,0.8,18,114,29,19,25,24,45,208,SF,70000000
David Lee,2085671,32,25,1,433,0.636,0,0.738,60,115,30,10,15,28,63,213,PF,70000000
Salah Mejri,525093,29,34,6,397,0.628,0,0.587,41,82,10,8,36,23,54,125,C,70000000
JaVale McGee,1270964,28,34,2,370,0.575,0,0.5,53,80,3,5,26,21,49,172,C,70000000
Jeremy Evans,1100602,28,30,2,251,0.542,0.25,0.714,11,43,2,6,9,7,19,71,SF,70000000
Draymond Green,14300000,25,81,81,2808,0.49,0.388,0.696,134,635,598,120,113,259,240,1131,PF,70000000
Stephen Curry,11370786,27,79,79,2700,0.504,0.454,0.908,68,362,527,169,15,262,161,2375,PG,70000000
Klay Thompson,15500000,25,80,80,2666,0.47,0.425,0.873,35,271,166,60,49,138,152,1771,SG,70000000
Harrison Barnes,3873398,23,66,59,2042,0.466,0.383,0.761,77,248,117,41,10,57,136,774,SF,70000000
Andre Iguodala,11710456,32,65,1,1732,0.478,0.351,0.614,52,211,219,73,19,79,102,457,SF,70000000
Shaun Livingston,5543725,30,78,3,1520,0.536,0.167,0.86,42,127,237,57,27,78,140,488,PG,70000000
Andrew Bogut,12000000,31,70,66,1451,0.627,1,0.48,121,371,162,32,114,83,221,375,C,70000000
Leandro Barbosa,25000000,33,68,0,1079,0.462,0.355,0.839,28,89,82,44,10,53,107,433,SG,70000000
Brandon Rush,1270964,30,72,25,1055,0.427,0.414,0.643,21,160,57,20,23,33,57,305,SG,70000000
Marreese Speights,3815000,28,72,0,832,0.432,0.387,0.825,77,162,61,19,34,66,117,512,C,70000000
